,stripped,readable
104,go india pakistan buy big amount,They go to India and Pakistan and buy big amounts.
105,government store food security stock government buy local millet sorgum must buy import rice distribute stock depend situation,"The government stores a food security stock, the government buys local millet and sorgum but must buy imported rice.. To distribute its stock , it depends on the situation."
106,famine give freely,"If you have famine, you give it freely."
107,decide sell low price,Or decide to sell it at a lower price.
108,use stabilize price buy grain trader increase pice government sell low price bring price,"Or it can be used to stabilize the price by buying those grains, the traders were increasing the pices, but the government then sold at lower prices to bring down the prices."
109,big religious event government help big festival support th government give rice,"During big religious events, the government helps the big festivals are supported by th government giving them rice."
110,disaster dramatic situation government help,"Or if there's a disaster, during these dramatic situations the government will help."
111,time case like ukraine russia government help stabilize,"At the same time, in cases like ukraine and russia, the government will help stabilize."
112,might solution,It might be a solution.
113,happen war end soon,What will happen if the war doesn't end soon.
114,must incrwase production slow difficult,"They must incrwase production, but this is slow and difficult."
115,subsidize price,They can subsidize prices.
116,buy lot food release,Or they can buy a lot of food and then release it.
117,right put wheat bread subsidize,"Right now we put wheat in our bread, and it is subsidized."
118,present becky vj sibiry pape goal interview find information service teach we give good interview pape colleague manobi agcelerant manager,"Present: Becky, VJ, Sibiry, me and Pape Goal of interview: Finding out about information services and teaching us how to give a good interview Pape is a colleague at Manobi, an agCelerant manager."
119,work agcelerant year value chain manager experience data analyst,Working for agCelerant for 2 years as a value chain manager; experience as data analyst in (?)
120,cooperative do internship cerat,cooperatives and has done an internship at CERAT (?)
121,coffee vcs,in coffee VCs.
122,experience tell we rice cultivation influence food security senegal important crop senegal rice principal component dish," From your experience, can you tell us how rice cultivation influences food security in Senegal? Very important crop in Senegal; rice is the principal component of the dishes."
123,price availability important especially rural area,"Price and availability is very important, especially in rural areas."
124,availability decrease people ability eat every day,"If availability decreases, so does people s ability to eat every day."
125,difference rice work food security," Difference in how rice works in food security, e.g."
126,cultivar household versus cash crop cultivar household cash crop,cultivars of household versus cash crop? The cultivars are the same for household and cash crop.
127,two type rice import local import much widely consume,"Two types of rice, imported and local, but imported is much more widely consumed."
128,provide information farmer get farmer information srv institution call saed organize area farmer cultivate," Who provides information to farmers and how do they get farmers the information? In the SRV, there s an institution called SAED which has organized in which areas the farmers should cultivate and how they should do so."
129,use tractor limit way water pass river cultivation area,They are using tractors to limit the ways water should pass from river to cultivation areas.
130,farmer monitor saed,The farmers are monitored by SAED.
131,rest information come either bank directly farmer,The rest of the information comes either from the bank directly or between farmers.
132,bank get information saed know much rice cultivate season,"Banks get information from SAED, who knows how much rice has been cultivated in each season."
133,bank get forecast,The banks get forecasts (?)
134,saed provide credit farmer base information saed,"from SAED, then provides credit to farmers based on the information from SAED."
135,saed inform supplier seed fertilizer quantity need farmer area,"SAED also informs suppliers (seeds, fertilizer) of the quantity needed by farmers in which areas."
136,banque agricole fix loan rate every season,Banque Agricole has a fixed loan rate every season (7.5%)!
137,microfinance institution three list interview finance farmer rate usually around,"Microfinance institutions there are three on the list of interviews also finance the farmers, the rates are usually around 13%."
138,farmer prefer low rate sometimes chance get loan convince saed sort connection saed get loan,"Farmers prefer the lower rates, but sometimes they don t have the chance to get these loans because you have to convince SAED or have some sort of connection with SAED to get loans."
139,farmer connect saed head cooperative farmer large area cultivation directly contact saed say large area want connect banque agricole want give money saed make link note unclear whether settle fee type bribery information come bank saed,"Farmers connect to SAED through the heads of their cooperatives, or if the farmer has a large area of cultivation he can directly contact SAED and say, I have a large area, I want you to connect me to Banque Agricole. If they want to give some money to SAED to make that link, they can. [Note: Unclear whether this is a settled fee or a type of bribery? Information comes through banks [to SAED?]"
140,cooperative farm unless farm big enough contact bank saed,"to cooperatives to farms, unless the farm is big enough to contact banks themselves through SAED."
141,start ticket banque agricole hectare,Starting ticket at Banque Agricole is 5 hectares.
142,something harvester every season,Something about harvesters every season?
143,around minute miss something important someone go banque agricole,"This is around 10 minutes in, I missed something important about why someone wouldn t go through Banque Agricole."
144,hectare allow create cooperative village organization ask loan,5 hectares allows you to create a cooperative or village organization and ask for a loan.
145,pape consider smallholder ha rice cultivation start around ha,"Pape considers a smallholder to be 0.25 - 1 ha, but for rice cultivation it starts around 10 ha."
146,lot space cultivate ha cost around expensive land rent family member family hectare put together cooperative,"There s a lot of space and cultivating 10 ha costs around $6000, which isn t that expensive. This land is rented, or it s a family where each member of the family has some hectares and puts them together into cooperatives."
147,farmer rent farmer cooperative much space cultivate,Farmers rent from other farmers or cooperatives who have so much space they can t cultivate it.
148,farmer ha probably grow rice consumption,Farmers who have < 5 ha probably only grow rice for consumption.
149,ton per hectare hectare eat much,"If you have 5 tons per hectare and you have 2 - 5 hectares, you can t eat that much yourself."
150,farmer sell mini thresher,Farmers can sell to [ mini -threshers?
151,many thresher,many threshers? ]
152,local village,who are local to the village.
153,important information decide season start two season space action quite large jan march,"The most important information to decide which season to start Two seasons, the space of action is quite large between 15 Jan to 15 March."
154,weather important,Weather is not that important to them.
155,important information whether get financing,Most important information is whether they can get financing.
156,farmer usually follow prescribed range saed planting various action,"Farmers usually follow the prescribed ranges from SAED for planting, etc., various actions."
157,end prescribed planting range see get tractor prepare land,"Before the end of the prescribed planting range, they see if they can get a tractor to prepare the land."
158,say service provider season prepare land loan pay back,"Then they say to the service provider, I ll do the season if you can prepare the land for me; if I have a loan then I can pay you back."
159,loan end prescribed range go,"If they don t have a loan before the end of the prescribed range, they won t go for it. }"
160,dry season,This is for the dry season.
161,rainy season credit much problem tractor work rain,For the rainy season credit is not as much of a problem; tractors can t work in the rain.
162,usually break day farmer decide whether prepare loan,There s usually a break of 2 - 5 days in which farmers can decide whether to prepare if they have the loan.
163,dry season good proceed fund kickstart process ahead loan,"If the dry season was good, they proceed on their own funds and kickstart the process ahead of loans."
164,farmer need week receipt credit plant,Farmers just need 1 week between receipt of credit and planting.
165,supply easily access everybody local organization usually stock seed fertilizer,"Supplies are very easily accessed for everybody, local organizations usually have stocks of seeds and fertilizers."
166,time time subsidy cropping season amount supply need prepare season shortage rarely happen northern senegal,"From time to time there are subsidies for each cropping season; the amount of supplies needed is prepared for each season, and shortages are rarely happening in northern Senegal."
167,ever situation system work input well know prescribe saed, Is there ever a situation where the system doesn t work? The inputs are well-known and prescribed by SAED.
168,might difference cropping season phyto chemical weed change year year sometimes right chemical short supply buy enough product type weed,"There might be differences between cropping seasons in phyto- chemicals, because weeds will change from year to year but sometimes the right chemicals are in short supply because they can t buy enough products for each type of weed."
169,know type problem crop buy right chemical,So they don t know what type of problem will crop up so they can t buy the right chemicals.
170,sometimes bank give loan late farmer want stay track season want use cultivar different normal supplier know ahead time seed shortage type cultivar desire,"Sometimes banks give out loans very late, and then the farmers want to stay on track for the season so they will want to use a cultivar that is different than normal but again, if the suppliers don t know this ahead of time, then there will be a seed shortage of the type of cultivar desired."
171,saed technical review previous season use agent throughout village head cooperative,SAED does a technical review of the previous season using agents throughout villages and heads of cooperatives.
172,saed use technique generate information year,SAED uses the same technique to generate information each year.
173,particularly bad year pest,"If there was a particularly bad year (pests, etc.)"
174,try fix problem information fairly consistent year year,they try to fix the problems but the information is fairly consistent from year to year.
175,issue organization farmer bank,"If there is an issue, it s on the organization of the farmers and the banks [?]."
176,saed information important season go well elasticity adapt something come cropping season,"SAED s information is important for the seasons to go well, but it doesn t have the elasticity to adapt when there s something that comes up during the cropping season."
177,system season adaptation,No system of in-season adaptation.
178,knowledge cooperative base tell cropping season look like,The knowledge that the cooperatives have is based on what they re told the cropping season should look like (e.g.
179,sowing occur day land preparation day apply fertilizer,"sowing occurs 15 days after land preparation, 2 days after that they apply fertilizer, )."
180,fix information change climate farmer know transfer knowledge saed actually know important tell something weird consequential see harvest bad,"It s very fixed information for a changing climate, and the farmer knows this, but he can t transfer that knowledge to SAED because he doesn t actually know if it s important that is, you can t tell if something weird is consequential until you see if the harvest is bad or not."
181,saed respond well monitor information farmer know unusual non standard occurrence important saed,SAED doesn t respond well to monitoring information and farmers don t know if unusual or non-standard occurrences are important to SAED.
182,saed deliver information cooperative head field agent,SAED delivers information to each cooperative head through field agents.
183,cooperative head disseminate information farmer,Cooperative heads disseminate information to farmers.
184,platform information share farmer part cooperative might never get information,"No platform for information-sharing if a farmer isn t part of a cooperative, they might never get that information."
185,farmer trust information saed yes absolutely interest saed give right information farmer,"Farmers do trust the information from SAED ( yes, absolutely ) it s in the interest of SAED to give the right information to farmers."
186,farmer usually say information lack ask value saed information,Farmers usually say the information is lacking when asked how they value SAED information.
187,saed often come see farmer enough field agent,SAED doesn t often come to see the farmers because there aren t enough field agents.
188,farmer feel isolated information agent,Farmers feel isolated from information agents.
189,two method improve information system,Two methods of improving information systems: 1.
190,even farmer home belong cooperative still get weekly visit field agent,"Even if the farmer is at home and doesn t belong to a cooperative, he should still get weekly visits from field agents."
191,,2.
192,digital sm platform transfer information farmer quite connected usually smartphone whatsapp,"Digital SMS platform to transfer information Farmers are quite connected, they usually have smartphones with WhatsApp."
193,fear since many people connect information dilute seem important much information easily access,"The fear will be that since so many people are connected, the information will be diluted that it doesn t seem to be important if there s too much information that s easily accessed."
194,pape think good solution weekly round coop head field agent two way street information rather saed farmer,"Pape thinks the best solution is weekly rounds with coop heads from field agents, with a two-way street of information rather than just SAED-to-farmer."
195,second important actor besides saed bank buyer,Second most important actors besides SAED and the banks are the buyers.
196,give loan,They can also give loans!!
197,loan cover part farmer land buyer give loan cover rest,"If a loan only covers part of a farmer s land, the buyers will give loans to cover the rest."
198,interest rate vary,Interest rates vary from 15 - 20%.
199,farmer pay back loan kind mortgage pay next season,"If farmers can t pay back a loan, they do a kind of mortgage that they pay off through the next season."
200,people get catch loan trap,People do get caught in loan traps.
201,farmer jump coop coop avoid situation,Some farmers jump from coop to coop to avoid this situation.
202,bank usually ask collateral banque agricole important coop guarantee payback,"Banks usually don t ask for collateral for Banque Agricole it s not that important, because the coop guarantees payback."
203,loaner sometimes ask land paper,"For other loaners, they will sometimes ask for land papers (?)."
204,buyer field agent,Buyers have field agents (!!!)
205,know area loan exist much rice need buy,who know about each area and what loans exist and how much rice needs buying.
206,end season field agent come ask payback,"At the end of the season, the field agent comes to ask for the payback."
207,sometimes formal contract always,There are sometimes formal contracts but not always.
208,field agent try come first farmer lot loan person come first prioritize likely actually repay,"The field agents try to come first because farmers have a lot of loans, and the person who comes first is prioritizedmore likely to actually be repaid."
209,buyer usually provide information farmer ask information monitor,Buyers usually don t provide information to farmers or ask for any information about monitoring.
210,buyer ask farmer access harvester ensure get help harvest land,"Buyers will ask if a farmer has access to a harvester, to ensure they can get help harvesting their land."
211,ngo usually work bank saed,NGOs usually work with the banks or with SAED.
212,pape never see work directly cooperative except case coop production,"Pape has never seen them working directly with cooperatives, except in the cases where the coops are doing more than production (e.g."
213,processing commerce,processing and commerce).
214,ngo directly involve production processing commercialization,"NGOs aren t directly involved in production, only in processing and commercialization."
215,never see example ngo provide input tractor,Never seen an example where NGOs provides inputs or tractors.
216,middleman manufacturer seed fertilizer nobody else service provider transportation pape perspective system quite well organized closed,"Other middlemen manufacturers of seeds and fertilizers, but nobody else other than service providers doing transportation Pape s perspective is that the system is quite well organized and very closed."
217,want enter provide service talk saed bank work farmer,"If you want to enter and provide services you have to talk to SAED and banks, you can t just work with farmers."
218,farmer talk someone saed farmer think scam,"If farmers talk to someone who isn t from SAED, farmers will think it s a scam."
219,new mentality farmer,There s a new mentality of farmers (?)
220, catch,didn t catch this.
221,pape think system work well closed fashion farmer liberty work private service provider,"Pape thinks the system works well in this closed fashion, but the farmers should have more liberty to work with private service providers."
222,farmer capacity know good ask,Farmers have capacity to know what s good for them and to ask for it.
223,allow freedom farmer would help system grow,Allowing more freedoms for farmers would help the system grow.
224,farmer new seed service would reduce cost increase growth,"If farmers can have new seeds and services, it would reduce costs and increase growth."
225,trend recent change farmer practice farmer information season lot consequence, Trend or recent change in farmer practices? Farmers information about a season can have a lot of consequences.
226,money start season different use start season credit keep go get,"When they don t have money to start a season, they don t this is different than when they used to start the season before they have credit and just keep going if they didn t get it."
227,farmer horticulture subsistence rice planting without loan,Farmers will do horticulture for subsistence but not rice planting without a loan.
228,much uncertainty embark season without fund,There s too much uncertainty to embark on a season without funding.
229,disaster unpredictable occur throughout season,Disasters are too unpredictable in when they occur throughout the season.
230,expert speak banque agricole microfinance latter problem banque agricole,3 more experts to speak to: Banque Agricole or microfinances (the latter have more problems than Banque Agricole)
231,focus interview decision making farmer prediction might make,Focus of interview: Decision-making of farmers and the predictions we might make.
232,topic climate change,Topic: Climate change.
233,see srv lot impact cc perception cc yes think example rice yield decrease temperature high," Have you seen in the SRV there s been a lot of impact of CC or perceptions of CC? Yes, he thinks so: For example, the rice yields have been decreasing and temperatures have been higher."
234,cc shift farmer run season,CC has shifted how farmers should be running their seasons.
235,farmer plant dry season wet season inconsistent start time amount rain,"Farmers plant more in the dry season, because the wet season is more inconsistent in the start-time and amount of rain."
236,farmer control water irrigation dry season rely time period,"Farmers can control water more with irrigation in the dry season, so they rely on that time period more."
237,increase rain wet season increase number pest bleed dry season farmer prepare land properly,"The increased rain in the wet season has also increased the number of pests, which can bleed into the dry season if farmers haven t prepared the land properly (e.g."
238,set fire soil kill pest plant next crop,setting fire to the soil to kill the pests before planting the next crop.)
239,farmer know cc reactionary know climate change main impact experience yield reduction amount rain happen north senegal use rain much rain start season come early," Do farmers know about CC or is it reactionary? They know about climate change, but the main impact they experience is the yield reduction and the amount of rain that s been happening in the North of Senegal used to not rain much but now it s raining more and more and the start of the season is coming earlier than before."
240,saed get prediction next season wrt cc connection local institution call anacim promote information cc planting window dry season, Does SAED get any predictions about next season wrt to CC? They have a connection with a local institution called Anacim which promotes information about CC and when the planting window for the dry season will be.
241,anacim lot weather,Anacim has lots of [weather?]
242,station international partnership make prediction weather,stations and international partnerships to make predictions about the weather.
243,saed adjust suggestion base anacim give information late sow season,"SAED doesn t adjust its suggestions based on Anacim because they give the information too late, after the sowing season."
244,saed say sow early suffer risk however subsidy come late,"SAED just says You should sow earlier, or you ll suffer so-and-so risk. However, subsidies are also coming late."
245,though farmer saving supply available buy early,"Though if farmers have savings, if the supply is available, they can buy earlier."
246,cultivar usually use dry season wet season respectively depend duration cycle,There are cultivars usually used for the dry season and the wet season respectively it depends on the duration of the cycle.
247,start wet season early use long duration cultivar dry season always use short duration cultivar,"When they start the wet season early, they use a long duration cultivar; for the dry season they always use the short duration cultivar."
248,africarice cultivar distribute,AfricaRice has some cultivars that they distribute.
249,seed station certify seed strict lot farmer complain seed getting certify properly,There s also seed stations which certify the seeds but it s not very strict lots of farmers have complained that seeds aren t getting certified properly.
250,either farmer get seed station another farmer keep seed,Either farmers get seeds from the stations or from another farmer who has kept seeds.
251,seed quality big problem,But seed quality is a big problem.
252,seed station public institution decide seed go,Seed stations are public institutions which decide where the seeds go.
253,system break farmer rely whether seed good talk farmer ask use seed provider role last season pape agree probably predict base choice change previous season good,"The system is broken farmers can t rely on whether seeds are good or not, so they talk to other farmers and ask, Have you used seeds from this provider? The role of last season: Pape agrees that you can probably predict t + 1 based on t. The choices change if the previous season wasn t that good."
254,good take action start grow season,"If it was not that good, they take action before the start of the growing season."
255,go well thing,"If it goes well, they do the same thing."
256,lately rice go well switch variety pape say usually switch crop rice important financially note recall pape experience rice grower manobi,"Lately, if rice doesn t go well, they switch varieties, but Pape says usually they don t switch crops because rice is very important financially [NOTE: recalling that Pape s experience is with rice growers in Manobi]."
257,see farmer horticulture like salad tomato horticulture instead rice horticulture rice two different plot,"He s seen farmers doing horticulture like salad and tomato but it s not horticulture instead of rice, it s horticulture AND rice on two different plots."
258,plant short duration seed dry season short window harvest,Plant short duration seeds in dry season because there s a short window for harvest.
259,timing harvest link cc start rainy season come early early year harvest arrive soil wet harvester able pass soil,"The timing of harvest is linked to CC because the start of the rainy season is coming earlier and earlier each year, they have to harvest before it arrives or the soil will be wet and the harvesters won t be able to pass over the soil."
260,harvest early protect consequence cc,They harvest early to protect themselves from the consequences of CC.
261,depend whether bird pressure high change season season sometimes sometimes,"It also depends on whether the bird pressure is high, which changes from season to season sometimes they re there, sometimes they re not."
262,well harvest early want bird come end season eat harvest,But it is better to harvest early because you don t want the birds to come at the end of the season and eat your harvest.
263,saed provide information whether harvest early make judgment,SAED doesn t provide information about whether they should harvest early or not they just make the judgment themselves.
264,saed advise always sow early possible,SAED just advises to always sow the earliest possible.
265,farmer harvest early tend well yield ton early,Farmers that harvest earlier tend to have better yields: 2 - 3 tons earlier.
266,window harvest rice harvest later yield decrease,"There s a window for harvest in rice and if you harvest later, the yields decrease."
267,sow early harvest ideal time likely get access harvesting equipment,"If you sow earlier and harvest at the ideal time, you also are more likely to get access to harvesting equipment."
268,farmer sow late due access input credit,Farmers sow late due to access to inputs and credit.
269,even sow early might access harvester might wait month get access,"Even if they sow early, they might not have access to a harvester, so they might be waiting for a month to get access."
270,harvester big soil wet easily move,The harvesters are also too big and if the soil is wet then they can t easily move through.
271,investor start shift mini harvester,Investors are now starting to shift to the mini harvester.
272,farmer plant early harvest early one season double crop,Farmers that plant early and harvest early in one season can double crop.
273,access harvester financial problem,Access to harvesters is a financial problem.
274,pape see year harvester finance bank one own harvester pay back loan,"Pape has seen this year some harvesters that are being financed by banks, but the one who owns the harvester has to pay back the loan."
275,farmer little area people harvester feel like go plot plot transportation cost lot need big car need pay gas,"If the farmer has a little area, the people who own the harvester won t feel like going from plot to plot because transportation costs a lot (need a big car, need to pay for the gas)."
276,interested ha plot maybe ha small plot,"They re interested in 20 - 50 ha plots, maybe 10 ha, not smaller plots."
277,harvester start north valley little plot go mauritania work ha plot pay back loan quickly,"Harvesters will start in the North of the valley and do little plots, and then they go to Mauritania to work on 50 ha plots because they have to pay back loans quickly."
278,start june plenty available july harvester go,"At the start of June there s plenty available, but by July all the harvesters have gone."
279,small coop farmer lose manual harvesting slow try get mini harvester,"Small coops and farmers lose out, but they can also do manual harvesting (very slow) or try to get a mini harvester."
280,farmer get machinery enough household labor hire migrant come south senegal,"If a farmer can t get machinery and doesn t have enough household labor, they hire migrants who come up the south of Senegal."
281,specialized kind work reputation fast farmer prefer hire migrant get access big harvester,They are specialized in this kind of work and have the reputation of doing it very fast; farmers prefer to hire migrants if they can t get access to a big harvester.
282,farmer miss optimal sowing window wet season plant short cycle duration crop,"If farmers miss the optimal sowing window in the wet season, they plant with a short cycle duration crop."
283,pape say people usually choose crop depend characteristic soil choose depend whether window sowing,Pape says people don t usually choose crops depending on the characteristics of the soil they choose depending on whether they re in the window of sowing or not.
284,consider salinity soil use salt resistant crop,They do consider the salinity of the soil; they ll use salt-resistant crops.
285,usually know characteristic soil past salinity,But they don t usually know the characteristics of their soil past salinity.
286,salinity big problem along border mauritania,Salinity is the biggest problem along the border with Mauritania.
287,farmer commonly abandon field due pest predict,Do farmers commonly abandon their fields due to pests and can you predict it?
288,maybe amount rain predict lot pest farmer information besides protect,"Maybe from the amount of rain you can predict there will be a lot of pests, but farmers don t have information besides that to protect themselves."
289,often leave field fallow many pest,They will often leave their field fallow if there are too many pests.
290,farmer might abandon salinity high plant time yield decline leave field fallow,"Farmers might also abandon if the salinity is too high, or if they plant a few times and the yields are declining, they ll leave the field to fallow."
291,rice mature soil water saturate rice start go yellow know ready harvest,"When the rice matures, if the soil is water-saturated and the rice has started to go yellow, they know it s ready to harvest."
292,harvest tool available know harvest,"They will only harvest if they have the tools available, but they do know when they should harvest."
293,big shortage migrant labor due covid farmer day late harvesting lose lot yield,Big shortage in migrant labor due to COVID most farmers were 30 to 40 days late in harvesting and lost a lot of yields.
294,lot financial institution issue get money back,A lot of financial institutions had issues because they didn t get their money back.
295,state support financial institution keep farmer loan,But the state has supported the financial institutions to keep farmers in loans.
296,give grant financial institution depend amount issue plot supervise saed,"They gave grants to the financial institutions depending on the amount of issues in the plots, as supervised by SAED (e.g."
297,plot issue land,this plot had issues on 50% of the land).
298,bank get wire repayment state amount damage estimate leftover repay farmer year,So the banks get wired repayment from the state for the amount of damage estimated; the leftovers can be repaid by farmers over 1 or 2 years.
