,stripped,readable,conditions,decisions,processes,proportions,causes,other,all
47,able predict level production future due uncertain factor farmer access input credit come time farmer use technology machinery factor constrain area cultivate,"Not able to predict the level of production in the future due to uncertain factors, e.g. do farmers have access to inputs, does the credit come in on time, do farmers use technology and machinery or not all of these factors constrain the area cultivated.",0,0,0,0,1,1,1
48,another issue access mechanization service harvest service provider always ready time provide service farmer need,"Another issue is the access to mechanization services, e.g. for harvest; service providers are not always ready on time to provide the services farmers need.",0,0,0,0,0,1,1
49,enough service provider enough equipment equipment sometimes adapt land big harvester able handle small parcel,There aren't enough service providers with enough equipment; some equipment sometimes isn't adapted to the land (e.g. the big harvesters won't be able to handle small parcels).,0,0,0,1,0,0,1
50,"diagram time 
 dr fall say positive negative effect climate change harvest time", Diagram time Dr. Fall says there can be positive or negative effects of climate change on harvest time.,0,0,0,1,0,0,1
51,make sure harvest time clean plot money get input need time money go another lender ,"You have to make sure to harvest on time, clean up the plot, that you have the money to get the inputs you need on time (you have your own money or you go to another lender), etc.",0,0,0,0,0,1,1
52,availability equipment land prep another factor,The availability of equipment for land prep is another factor.,1,0,0,0,0,0,1
53,plant short duration seed dry season short window harvest,Plant short duration seeds in dry season because there's a short window for harvest.,0,1,0,0,1,0,1
54,timing harvest link cc start rainy season come early early year harvest arrive soil wet harvester able pass soil,"The timing of harvest is linked to CC because the start of the rainy season is coming earlier and earlier each year, they have to harvest before it arrives or the soil will be wet and the harvesters won't be able to pass over the soil.",1,0,1,0,1,0,1
55,harvest early protect consequence cc,They harvest early to protect themselves from the consequences of CC.,0,1,0,0,0,0,1
56,well harvest early want bird come end season eat harvest,But it is better to harvest early because you don't want the birds to come at the end of the season and eat your harvest.,0,1,0,0,1,0,1
57,sae provide information whether harvest early make judgment,SAED doesn't provide information about whether they should harvest early or not they just make the judgment themselves.,0,1,0,0,0,0,1
58,farmer harvest early tend well yield ton early,Farmers that harvest earlier tend to have better yields: 2 - 3 tons earlier.,0,0,0,1,1,0,1
59,window harvest rice harvest later yield decrease,"There's a window for harvest in rice and if you harvest later, the yields decrease.",0,0,1,1,1,0,1
60,sow early harvest ideal time likely get access harvesting equipment,"If you sow earlier and harvest at the ideal time, you also are more likely to get access to harvesting equipment.",0,0,1,1,1,0,1
61,even sow early might access harvester might wait month get access,"Even if they sow early, they might not have access to a harvester, so they might be waiting for a month to get access.",0,0,0,0,0,1,1
62,harvester big soil wet easily move,The harvesters are also too big and if the soil is wet then they can't easily move through.,0,0,0,0,1,0,1
63,investor start shift mini harvester,Investors are now starting to shift to the mini harvester.,0,1,0,0,0,0,1
64,farmer plant early harvest early one season double crop,Farmers that plant early and harvest early in one season can double crop.,1,0,1,0,0,0,1
65,access harvester financial problem,Access to harvesters is a financial problem.,0,0,0,0,0,1,1
66,pape see year harvester finance bank one own harvester pay back loan,"Pape has seen this year some harvesters that are being financed by banks, but the one who owns the harvester has to pay back the loan.",0,0,0,0,0,1,1
67,farmer little area people harvester feel like go plot plot transportation cost lot need big car need pay gas,"If the farmer has a little area, the people who own the harvester won't feel like going from plot to plot because transportation costs a lot (need a big car, need to pay for the gas).",1,1,0,0,1,0,1
68,harvester start north valley little plot go mauritania work ha plot pay back loan quickly,"Harvesters will start in the North of the valley and do little plots, and then they go to Mauritania to work on 50 ha plots because they have to pay back loans quickly.",0,1,1,0,1,0,1
69,start june plenty available july harvester go,"At the start of June there's plenty available, but by July all the harvesters have gone.",0,0,0,0,0,1,1
70,small cooperative farmer lose manual harvesting slow try get mini harvester,"Small coops and farmers lose out, but they can also do manual harvesting (very slow) or try to get a mini harvester.",0,1,0,1,0,0,1
71,farmer get machinery enough household labor hire migrant come south senegal,"If a farmer can't get machinery and doesn't have enough household labor, they hire migrants who come up the south of Senegal.",1,0,0,0,0,0,1
72,specialize kind work reputation fast farmer prefer hire migrant get access big harvester,They are specialized in this kind of work and have the reputation of doing it very fast; farmers prefer to hire migrants if they can't get access to a big harvester.,1,1,0,0,0,0,1
73,rice mature soil water saturate rice start go yellow know ready harvest,"When the rice matures, if the soil is water-saturated and the rice has started to go yellow, they know it's ready to harvest.",1,1,1,0,0,0,1
74,harvest tool available know harvest,"They will only harvest if they have the tools available, but they do know when they should harvest.",1,1,0,0,0,0,1
75,big shortage migrant labor due covid farmer day late harvesting lose lot yield,Big shortage in migrant labor due to COVID most farmers were 30 to 40 days late in harvesting and lost a lot of yields.,0,0,0,1,1,0,1
76,know two cooperative got pay back think fair since harvest,"He knows of two coops who got paid back 50% and thinks this is fair since they harvested, after all.",0,0,0,0,0,1,1
77,farmer harvest night sell side,Farmers will harvest at night to sell on the side.,0,1,0,0,0,0,1
78,farmer want pay back know get another loan advantage get harvester loan,"The farmer wants to pay back if he knows if he'll get another loan, or if there are other advantages, e.g. getting a harvester loan, etc.",0,1,0,0,0,0,1
79,part subregional task force rice agriculture equipment include mali,"They're part of a subregional task force on rice and agriculture equipment, including Mali, etc.",0,0,0,0,0,1,1
