,sentence
168,"The Amudat Woman MP Mary Nauwat was full of praise for KMC.
"
169,"Quarry House No.
"
170,"95 was constructed in 1944 as a befitting on-campus private residence of Ssekabaka Muteesa II, his official palace being only a few kilometers away in Mengo.
"
171,"This election offers Uganda the opportunity to inspire and shape the future of the region and the world.
"
172,"The invasion of the desert locust is a reminder to Uganda and the entire world that climate change is real, and that its destructive impact is a demonstration of what awaits us if no urgent actions are taken.
"
173,"The demand for Uganda’s flowers has equally gone up with more orders coming in as production elsewhere has drastically declined due to the COVID- 19 shut down in those Countries.
"
174,"The movie came out in December 2019, though it is only hitting cinemas in Uganda this week.
"
175,"Uganda last experienced a major locust invasion in 1961, with immense damage on crops which resulted in acute hunger.
"
176,"The areas so far affected by the desert locust invasion are some of Uganda’s top honey producers.
"
177,"Felix Mark Lochaale, the interim district chairperson of Karenga, and Peter Aback the LC III chairperson of Karenga sub county have both welcomed the development.
"
178,"These roads are: Goli-Mahagi-Bunia; Mpondwe-Beni; and Bunagana-Rutshure-Goma.
"
179,"Wamai was in support of giving away the forest while other party members and leaders in Mbale strongly opposed the give away of the Mutoto forest to allow developers expand Mbale town.
"
180,"He, however, notes that unmanned porous border points between Agago and Kotido districts remain a great challenge for the local vigilantes who are always surprised by the intrusion of the thugs who are armed with guns.
"
181,"Nakyeyune is also a volunteer and member of Rotary Uganda and the country secretary of Rotaract Uganda and the deputy district executive secretary, Youth of Rotary Uganda.
"
182,"Earlier this month, President Yoweri Museveni and minister of Health, Jane Ruth Aceng ruled out the evacuation of the 105 Ugandan students, saying they were safer in China because it had better expertise in the handling of the deadly virus than Uganda.
"
183,"Former Uganda chief justice Bart Katureebe has been appointed to the International Commercial Court Expert Committee (CICC) of the Supreme People’s Court of China.
"
184,"While inspecting the prototype yesterday at Makerere University, the Minister of Health, Dr. Jane Ruth Aceng says that such innovations are important to the country and will help the fight against COVID-19.
"
185,"In 2010, the Uganda government passed a law criminalizing FGM.
"
186,"The region has been receiving the dailies through public buses travelling from Kampala.
"
187,"At Kawumu, my 4 fish ponds in one (1) acre, are earning, for my people, Shs 68 million per year.
"
188,"It was also revealed at the press briefing that the eight Chinese who escaped from quarantine and were heading to DRC, are back in Kampala where tests have been done.
"
189,"URN visited some of the homes in Napak district and found that many households have resorted to planting vegetables in a kitchen garden, making it easier for the family to continue having meals.
"
190,"Even in Kenya, where Kenyatta’s initial victory in 2017 was nullified by the Supreme Court, the ruling party won after the opposition boycotted the re-run.
"
191,"Demonstrations throughout Uganda are likely to remain common and may often escalate to violence,” the US Embassy alert reads.
"
192,"He said despite Uganda’s soils losing fertility and needing to be replenished, farmers should opt for land fallowing or use of organic fertilizers in order to save soil bacteria.
"
193,"Overall, 83% of the households in Uganda do not have a television set.
"
194,"I have a father-in-law and in Buganda, a woman is supposed to be so discrete with her in-laws.
"
195,"Samsan Olum, a district councillor of Karenga praised the initiative saying it’s a solution to poverty challenges in the region.
"
196,"Moses Kibirige, the head of the World Bank’s Trade and Competitiveness sector in Uganda said part of the solution to communal land ownership in Uganda is to have it communally registered and titled.
"
197,"Over a week ago President Yoweri Yoweri Museveni suspended all incoming and outgoing passenger flights to Uganda in a bid to combat the spread of COVID-19.
"
198,"It was informed by the long-held and widely-documented belief by the President of Uganda, Museveni that the UPDF, which developed from his personal guerrilla army of the National Resistance Army (NRA), only holds a legitimate vision for the country and is far more reliable.
"
199,"Emmanuel Lokii, the secretary Production and Marketing in Moroto District Local government welcomed the police operation saying many miners were flouting the regulations and were often bent on exploiting the local community.
"
200,"They include, Lopedo gold mining site in Lodiko and Nakapel mining site in Loyoro sub county both located close to the Kenyan border.
"
201,"The Moroto regional police spokesperson, Michael Longole described the new deployment as key and strategic to the insecurity needs of the region.
"
202,"So, to enable people access cheap capital, Kasolo says the government, and President Museveni in particular, has initiated Emyooga programme to enable Ugandans access seed capital and begin their own businesses.
"
203,"Government has so far verified a total of 16,946 claimants in Acholi.
"
204,"Police spokesperson Michael Longole blamed the leaders from Moroto for inciting violence, and reiterated that anyone who goes on inciting members of the public would be arrested.
"
205,"Stanbic Bank Chief Executive, Anne Juuko, said the bank is committed to offering affordable loan and related financial products to support the economy to quickly recover from COVID-19 hit in line with their purpose – Uganda is our home, we drive her growth.
"
206,"One thing you have to keep in mind is that Uganda is going through a very difficult time as many other countries because of the Covid-19 pandemic which has inflicted a very large blow to the economy and people's lives.
"
207,"Kabise added that Kasango had bought her land in Tororo, and that is where she wanted her son to be buried.
"
208,"Government is seeking to upgrade the road into a paved bituminous standard to facilitate the connection between Bugisu and Karamoja sub-regions.
"
209,"Alfred Onenchan, the second in Command at Kaiso Immigration offices in Hoima district, says they are unable to patrol all landing sites due to manpower gaps.
"
210,"Times have changed; not only is that grass near-impossible to find in Kampala today, the bananas (kayinja, musa or kisubi) are not common either.
"
211,"On her tour of Isimba, Nankabirwa was in the company of state minister for energy Okasai Opolot, the CEO of Uganda Electricity Generation Company Limited (UEGCL) Harrison Mutikanga and other officials from the energy ministry and UEGCL.
"
212,"Christine Lawino, a papyrus mat maker explains that 20-years-ago, she could just take a 20-minute walk to a wetland in Layibi, and within minutes, cut reeds enough for a mat from the edge of the swamp.
"
213,"Bush burning is a traditional practice that is cherished by the Acholi.
"
214,"For that, I am not yet able to define what shape or form our commercial film practice takes in Uganda.
"
215,"As Uganda celebrates International Labour Day on 1 st May, the Uganda Registration Services Bureau (URSB) celebrates the workers of Uganda for being the champions of our nation’s national development.
"
216,"Uganda has only received one type of vaccines.
"
217,"As the sun went down on January 20, news spread of the passing of Rt Rev JOHN BAPTIST KAGGWA, the bishop emeritus of Masaka.
"
218,"Ethiopia and Kenya have a rating of 84.88 and 84.31 each respectively the CQI reported on a grading scale of 100.
"
219,"I was born in Butaleja.
"
220,"Denis Apuun who claims to be a member of the Revolutionary guard, said that the rustlers have raided more than 4,000 animals from Lotome since January and they have never recovered them.
"
221,"There are many others, including Hope for Kabingo (HFK), founded by Comboni Missionary Father Richard Kyankaaga that focuses on a little village in southwest Uganda.
"
222,"Brunei Darussalam, a nation on the island of Borneo in two distinct sections surrounded by Malaysia and the South-China Sea took the overall lead of the best Tobacco industry interference country while in Africa Uganda came first in 14 countries followed by Kenya at 9th position.
"
223,"When Congressmen began pushing the outgone Donald Trump administration last October for a more muscular response to what they described as “human rights abuses in Uganda and the country’s slide toward authoritarianism, the lead campaigners brandished a list of errant Ugandan officers that should be sanctioned.
"
224,"Wakiso , Uganda | THE INDEPENDENT | Wakiso leaders are bitter, that no senior leader at the ministry of health could make time to attend the launch of the National Sanitation Week in the very district where practically they are based, during this era of Covid-19 where sanitation is the key defence against the pandemic.
"
225,"Patricia Nangiro, a human rights governance expert notes that the incidents of insecurity in Karamoja were escalated because government did less to resettle the warriors after the disarmament process.
"
226,"Ethiopia and Uganda-grown coffee beans, which dominate Africa’s coffee exports, valued at nearly $2 billion last year.
"
227,"Interest in Uganda’s coffee on the world market has been agitated by the weather changes most especially the frost that is affecting major coffee producers such as Brazil and Vietnam who control approximately half the global coffee supplies.
"
228,"It should be remembered that around December 2020, media widely reported tycoon Hamis Kiggundu fearing for his life; however, as Ugandans, we have to stand strong for Uganda as we currently have a strong government in power and trust that will have these issues fully investigated and the culprits will be brought to justice for this is not a legal battle limited to financial benefits as many Ugandans presume but, rather, one for preservation of the rule of law, upholding democratic principles, safeguarding human rights and protection of our Constitution as a country.
"
229,"Sarah Chepal a gold miner from Karita sub-county in Amudat however, said some of the gold buyers cheat the miners with fake gold weighing scales.
"
230,"Henry Okello Oryem, the Minister of State for Foreign Affairs says visitors at Uganda’s pavilion will get in-depth into Uganda’s environmental, touristic, cultural, economic and social landscapes and be familiarized with it as a destination of choice for both leisure and business.
"
231,"We see it in the genocide being committed against the predominantly Muslim Uyghurs and other ethnic and religious minority groups in Xinjiang; the attacks on and the imprisonment of opposition politicians, anti-corruption activists, and independent journalists in places like Russia, Uganda, Venezuela.
"
232,"Uganda will continue to have to borrow from other sources including from domestic banks on more commercial terms.
"
233,"” The project will stimulate economic growth in Uganda and create up to 20,000 direct and indirect jobs, bringing a significant number of meaningful training opportunities for the local labour force.
"
234,"This year, International Organisation under the Accelerating Action for the Elimination of Child in Supply Chains in Africa (ACCEL AFRICA) working with ILO’s International Training Center has been training journalists and communication experts in six African countries, including, Uganda, Ivory Coast, Mali and Nigeria about how the media industry can help raise awareness about how to tackle the scourge of the child labor.
"
