,sentence
107,"Some of the placards condemned the Uganda People’s Defense Force-UPDF manning security in Karamoja while others attacked the ruling government for failing to live up to its promise of securing Ugandans.
"
108,"Kato’s story explored how science, particularly biotechnology, can help alleviate the suffering of Karamoja’s pastoral communities.
"
109,"Ssempijja pointed out that among the key current UPDF tasks that remain unfunded include; the ongoing operation Shujja against Allied Democratic Forces – ADF, an Islamic rebel group in the DRC which requires 21.5 billion Shillings and the disarmament exercise in Karamoja region dubbed salama kwa wote that needs 27.5 billion Shillings.
"
110,"Prof Orach says in Karamoja, sex is for procreation purposes and almost every pregnancy is intended, hence the lower numbers.
"
111,"Enanga warned witnesses in the ongoing investigation into the Karamoja iron sheets scandal to heed to their summons, noting that the invitation is meant to either prove the allegations against them or disprove them.
"
112,"John Lodungokol, the Assistant Commissioner crop production in the Ministry of Agriculture told URN on Sunday that the environmental degradation in Karamoja was the main cause of flooding that always hits the region.
"
113,"It was hoped that the interventions would persuade the people of Karamoja to embrace disarmament and abandon cattle rustling.
"
114,"However, it seems we have always looked at Karamoja as a place that deserves pity hence the massive plan to donate cheap iron sheets that we hear didn’t even reach those who needed them.
"
115,"“Despite having former powerhouses such as Kololo SS, Old Kampala SS and Lubiri SS, it’s a pleasure to have Abim from Karamoja region.
"
116,"Col. Peter Akakunda, the 403 Brigade Commander advised the youth to stop cattle raids so that peace and development can fully be realized in Karamoja.
"
117,"Court has temporarily halted the hearing of a case in which minister for Karamoja Karamoja Affairs Mary Gorreti Kitutu is accused of causing loss of public property after her alleged involvement in the diversion of iron sheets meant for the vulnerable people in Karamoja sub-region.
"
118,"In April, this year, President Museveni also launched a disarmament exercise in Karamoja and deployed the military to carry it out following a spate of murders and theft of thousands of livestock, mainly cattle.
"
119,"When I first went to Karamoja in 2003, it was a different place and we worked very hard together with others [Denmark and the EU] alongside the Uganda Human Rights Commission, the government, civil society actors, traditional leaders and even the young warriors to come to a situation where the gun could be left behind.
"
120,"Peter Mugema, the Iganga Municipality MP said famine is affecting people in his constituency too, citing that people are dying of starvation and that the government should upscale its interventions beyond Karamoja.
"
121,"Adjumani East MP, James Mamawi, also urged government to invest in production as a long term plan to mitigate famine and hunger in Karamoja and reduce the dependence syndrome on relief food.
"
122,"Sseremba told the court that all those activities had to be fulfilled through the procurement of goats and iron sheets to be distributed at no cost to the targeted beneficiaries or the people of Karamoja.
"
123,"The prices of cattle, goats, sheep’s and chicken in Karamoja markets have tripled a head of Christmas festival.
"
124,"The vast majority of FGM takes place in the regions of Karamoja and Sebei, where overall prevalence is reported to be 26.7%.
"
125,"Health programmes, especially, immunization and peace, have helped the population of Karamoja to recover and grow from 190,000 in 1980 when I went there as Minister of Defence to now about 1.2 million people.
"
126,"In December 2021, the Parliament passed a supplementary budget worth 39 billion shillings to support various programs in Karamoja.
"
127,"The report shows that food insecurity in Karamoja can be attributed to multiple factors, including insecurity, unpredictable weather patterns leading to inadequate food production, and poor health, hygiene, and sanitation practices.
"
128,"Last week the Karamoja Minister, Mary Gorreti Kitutu was remanded to Luzira prison by Anti- Corruption Court for allegedly diverting iron sheets meant for the Karamoja community empowerment programme.
"
129,"According to the survey of 2019 by Ecological Christian organisation, an NGO advocating for the rights of the Karimojong on land matter, 98.7% of land in Karamoja have been liencesed and there are 178 investors holding exploration and mining leases ranging from 10 to 40 years.
"
130,"The Commission is concluding its three day’s engagement with the communities and local leaders in Karamoja today.
"
131,"Lugoloobi is among the three ministers implicated in the theft of iron sheets meant to benefit vulnerable groups in Karamoja sub-region.
"
132,"“Am telling you the government will continue spending a lot of resources pacifying Karamoja for a short period but stable peace will only return to Karamoja when Karimojong children are forcefully taken to School and government does psychological disarmament,” he said.
"
133,"The proposed open-air museum, located in Iriiri Sub County, will serve as a one-stop center where fossils will be exhibited, allowing visitors to witness these remarkable findings before continuing their journeys to explore the rest of Karamoja.
"
134,"During the same press conference, Baryomunsi castigated police for apprehending ministers implicated in the Karamoja iron sheets scandal during hours they cannot be produced in court.
"
135,"We are raising funds to build latrines in Karamoja this August.
"
136,"“Mining development could be a real boon to the people of Karamoja, bringing jobs and better security, services, and basic infrastructure,” said Daniel Bekele, the Africa director at Human Rights Watch, “However it is still unclear how the people of Karamoja will benefit, if at all, from mining, or how the government intends to protect their rights during this process.
"
137,"It happened that the first batch of 12,000 iron sheets were procured for Karamoja but as early as June, 2022, CID operatives had started investigating Kitutu and Agnes Nandutu, the state minister for Karamoja, over mismanagement of the region’s relief items.
"
138,"Nandutu seeks criminal proceedings against her in relation to the theft of 2000 pieces of Iron sheets that were meant to empower vulnerable Karamoja communities be halted until the Constitutional Court can rule on the validity of the charge which she claims to be vague, unclear, and too broad to enable her defend her herself.
"
139,"While delivering his homily, Archbishop Paul Ssemogerere said he was shocked to see media reports of people from the Karamoja region starving and others surviving on leaves yet in other parts of the Country food is in excess.
"
140,"My mind runs to Karamoja where I was at the end of 2016 visiting Kidepo national park.
"
141,"Dr. Paul Okullo, director at the Nabuin Zonal Agricultural Research and Development Institute said the government now needs to popularize growing of commercial trees in the Karamoja region.
"
142,"While appearing on NBS television last week, Minister of State for Karamoja Affairs and Bududa District MP, Agnes Nandutu mocked the National Unity Platform’s gesture to donate food items to the Karamoja region saying it was to seek cheap popularity.
"
143,"“On a good note, Karamoja region was well represented.
"
144,"The motion was tabled by Kumi Woman MP, Monica Amoding on behalf of Lango, Teso and Karamoja legislators.
"
145,"But graphite is just one of over a dozen different minerals to be found in Karamoja, according to the Department of Geological Survey and Mines in the Ministry of Energy and Mineral Development.
"
146,"Brigadier Gen Joseph Balikudembe, the UPDF 3rd Division Commander turned down the request saying the leadership of Karamoja had been accused of conniving with cattle rustlers.
"
147,"Government last week said it had committed at least Shs 135bn for the next 3 months towards the hunger crisis in Karamoja.
"
148,"The author is the head of Area Office for WFP, Karamoja.
"
149,"Land in Karamoja is particularly important to the community, which depends on nomadic pastoralism for survival.
"
150,"The school feeding programme is therefore part of both the long term and short-term solution to hunger in Karamoja.
"
151,"The 82 are part of the over 200 warriors arrested during the cordon and search operations in Karamoja where 58 guns and over 300 ammunition have been recovered.
"
152,"With regards to refugees and Karamoja, WFP will always provide that safety net.
"
153,"Due to the years of turbulence in Karamoja, the kob population in Kidepo was down to just six, according to a recent aerial survey.
"
154,"The resolution was reached during the 8th extra-ordinary general assembly of the North East Regional Football Association which covers Teso and Karamoja held at Steron Walls in Soroti city on Friday.
"
155,"Check, for example, where money is given to people for the construction of boreholes in Karamoja and it is stolen and people suffer.
"
156,"Similarly, when the former minister of Ethics Fr.
"
157,"Simon Lokodo died, MPs from his home region, Karamoja, demanded that government fills Lokodo’s position at the Uganda Human Rights Commission with one of their own.
"
158,"“For example, he is remembered as the first President in post-Independence Africa to donate his salary to the development of Karamoja region, which by the time of our independence had been neglected by the colonial establishment” remarked Assoc.
"
159,"We have not had any well coordinated approach to dealing with Karamoja problem.
"
160,"He also expressed concerns about the proliferation of cultural associations in Karamoja, often lacking a clear vision and driven by self-interest advocacy.
"
161,"What more proof of the President’s commitment to ending graft and misuse of public funds and abuse of office does one want, especially with the Minister of Karamoja sleeping in Prison at the time of writing this article (1am).
"
162,"A similar situation is also developing in Karamoja region where hunger has claimed 12 people while others on the verge of dying.
"
163,"The Forum for Democratic Change (FDC) leadership is this week continuing with its working visit in Karamoja to assess the security and humanitarian situation in the region.
"
164,"The IPC attributed the high levels of food insecurity in Karamoja to insecurity in some parts of Karamoja.
"
165,"The entire Karamoja region and it is not a small region; we have the Matheniko, Bokora, Jie, Pokot, Dodoth, Pian and Ik; in that entire Karamoja sub-region, there is not one member of staff that comes from there,” Oulanyah said.
"
166,"She also sees diversification of food crops, livestock breeds, harvesting water for production, elimination of dependence on food aid and boosting the school feeding programme as solutions to Karamoja’s problems.
"
167,"For example, Goal and Concern were amongst the first NGOs to support Karamoja during the 1970s famine.
"
168,"Speaking on the issue of security, the president said his government had defeated Kony rebels in the north, the rustlers in Karamoja, and the ADF in the DR Congo.
"
169,"Napak District Woman MP, Faith Nakut asked the Speaker to ensure the committee charged with the inquiry of the iron sheets saga be facilitated to travel to Karamoja.
"
170,"Many remember him as great leader who enlightened Karamoja.
"
171,"The crowd had earlier on demanded to know if Bobi Wine was coming, thanks to the concert posters and the month- long radio adverts that had him assuring Karamoja he would be present, but they understood when the MC explained.
"
172,"We have built houses for widowed mothers and we have built a school in Karamoja.
"
173,"The children are the big trouble causers, they are the ones who are used in cattle raids but when they are given skills and education, there will be change in Karamoja.
"
174,"He said donors should invest in both emergency response and long-term solutions to resolve the hunger and malnutrition crisis in Karamoja.
"
175,"He said that the proliferation of guns into Karamoja brought in by Turkana pastoralists is hurting the security forces because a lot of recoveries are done but the guns keep coming in.
"
176,"He stressed the need for government to mobilise for investment and industrialisation in Karamoja; saying that the area is rich in natural resources such as limestone (300 million tonnes) for cement and marble production, fruit processing, leather tanning, meat processing, honey production, gold mining and tourism.
"
177,"Government has welcomed a 23m pound UK investment in the Karamoja nutrition project.
"
178,"“The people in Karamoja have been voting for the (NRM) government for years but their fortunes have not changed,” Muguzi said.
"
179,"As a region, Karamoja still stands challenged, with education, food-water-energy deprivation, health, and early childhood pregnancies, and now, reports of insecurity.
"
180,"The address also comes at a time the people in the Karamoja sub region are struggling with food insecurity that has seen over 40 people starve to death.
"
181,"Well the people in Karamoja will be black and the ones in the Silicon Valley will be white.
"
182,"DPP Jane Frances Abodo, herself a daughter of Karamoja, last week closed 17 case files of some ministers and other top officials implicated in the iron sheets scandal due to lack of sufficient evidence.
"
183,"According to statistics from UNFPA, Karamoja is classified as one of the world’s poorest areas, with high rates of malnutrition and disproportionate number of 61% of its 1.2 million people living in absolute poverty.
"
184,"“I did not know the iron sheets were for Karamoja.
"
185,"Karamoja has been a focal point for drought-associated problems, and Stephen Magezi says that a culture of aid-dependency has grown up in the region.
"
186,"In recent weeks, Members of Parliament from the northern and eastern regions called for a fresh disarmament process in Karamoja in order to reduce the number of guns in civilian hands.
"
187,"Last year, another survey dubbed “Situational Analysis” of Teso and Karamoja uncovered administrative gaps affecting the welfare of Muslim communities.
"
188,"The Embassy of Ireland gave the donation in partnership with, Doctors in Africa (Medici con l'Africa - CUAMM) to support better access to medical services for all in Karamoja.
"
189,"However, the minister harked back to the Karamoja programme, where she once worked.
"
190,"Richard Oyel explores the beautiful side of Karamoja in his story.
"
191,"The case pertains to the alleged diversion of iron sheets originally intended for vulnerable individuals in the Karamoja region.
"
192,"The biggest number of Ugandan households that are food insecure are found in Karamoja, Budaka and Busoga regions.
"
193,"The Prime Minister underscored the vital relationship between security and socio-economic development, noting the challenges Karamoja has faced due to internal and external security threats.
"
194,"While there are cattle thefts within Karamoja, the Iteso especially at the border accuse the Karimojong of stealing their cattle.
"
195,"“When you use the force in Karamoja you will never achieve what you want but apply peace and dialogue,” he said.
"
196,"The first day of the Primary Leaving Examinations (PLE)was characterized by late delivery of exam materials especially in Ntoroko district and Karamoja sub region and this was attributed to floods that rendered roads impassable.
"
197,"Some observers say the NRM government has attempted to go a little further than previous governments in deliberately seeking to address the Karamoja problem, by mainstreaming Karamoja into the national fabric.
"
198,"A 300-strong ASTU team was deployed in different districts of Karamoja as well as parts of Sebei sub region.
"
199,"He added that Karamoja has vast underutilized land and other unexploited resources which if harnessed, will help lower the sub-region’s poverty levels.
"
200,"In Karamoja, the incumbent Simon Peter Aleper retained his seat after defeating his only challenger Lokor Jimmy with 8,143 against 2,220.
"
201,"The president has been meeting the district leaders and commanders in Karamoja to understand the whole issues of the resurgence of insecurity in Karamoja.
"
202,"Meanwhile, Kyamugambi said Ugandans must desist from comparing costs of the railway line with Kenya and Ethiopia’s.
"
203,"Whether it is our vegetables, tea, coffee, oil or gemstones, our policies and actions as a government over the next 5 years will be to ensure that as much value, and as many jobs, as possible are created and retained in Kenya.
"
204,"In 2021 Kenya also became the first country globally to approve national performance trials of genetically modified (GM) cassava.
"
205,"And Kenya's incoming president faced murder, deportation and persecution charges at the International Criminal Court over his role in 2007 postelection violence that killed about 1,200 people.
"
206,"Kenya, the second best performer in the region, was ranked position 92 compared with 108 last year, 121 in 2013 and 109 in 2012.
"
207,"Since then, Kenya has made tremendous economic, educational, social and democratic progress.
"
208,"August 9: Dr. Besigye and Bobi Wine are in Kenya as election observers for the hotly contested election for Kenya’s fourth president that was won by William Ruto.
"
209,"He says Otunnu’s camp went up to his school in Kenya to dig for information.
"
210,"He was also one of the three MPs from the Parliament of Uganda who, together with 3 counterparts from Kenya and 3 from Tanzania, signed the East African Community Protocol establishing the Community in Dar-es-Salaam in 1998.
"
211,"However, Kenya witnessed a decline in coffee export earnings, totaling Kshs25.5 billion (approximately $170.85 million) in the first six months of 2023, compared to KshsSh26.6 billion (approximately $178.2 million) in the same period last year.
"
212,"The solar powered fence is jointly financed by the Ministry of Tourism and Space for Giants, a Kenya-based charity, which works with local communities to prevent human-wildlife conflict.
"
213,"Kenya were also fined Shs 35,004,306 (10,000 Swiss Francs) for the late arrival of their team in Cape Verde which resulted to a late kick-off in the 2018 World Cup qualifier on November 13, 2015.
"
214,"With at least 618 bird species such as the African skimmers, African fish eagles, African jacana, saddle-billed stork, martial eagles, shoebills, herons, kingfishers, egrets, pelicans, cormorants, garls, larks and flamingoes which migrate to the park from Lake Nakuru and Lake Naivasha in Kenya, Queen Elizabeth national park is the biggest bird haven in Africa and perfect destination for birding safaris.
"
215,"“That is when we shall also benefit from the tourists but, currently, we get them from Kenya and to ensure we get profit from them, we sell them expensively.
"
216,"The pass rate for Kenya at the same level was 42% and Tanzania 36%.
"
217,"Speaking to journalists at parliament on Friday, Mwenge North MP Lawrence Akugizibwe said government has failed to come up with a scheme to guarantee loans for the farmers so that they can own their factories like is the case in Kenya.
"
218,"Another swarm came from Turkana county, Loima district in Kenya to Nakabaat in Rupa sub-county.
"
219,"As such, Kenya needs to work overtime to set a power generation agenda that identifies real versus perceived needs.
"
220,"The minister further hailed Kenya for taking the lead with SGR.
"
221,"It includes detailed energy profiles of 11 countries that represent three-quarters of the region’s gross domestic product and energy demand, including Nigeria, South Africa, Ethiopia, Kenya and Ghana.
"
222,"In April 2017, for instance, in Kenya’s Laikipia County, about 10,000 pastoralists armed with automatic rifles raided farms, wildlife reserves and conservancies, driving away 135,000 head of cattle.
"
223,"But Ibrahim Njenga, a Kenyan fence technician who is overseeing the work and has fixed the fences in Botswana, Gabon, and Kenya, says it works.
"
224,"The others include Yemen, Djibouti, Eritrea, Ethiopia, Somalia, South Sudan, Sudan, Tanzania and Kenya.
"
225,"According to the popular narrative, Kenya suffers from the twin evils of electricity that is overly expensive and in short supply.
"
226,"However, an official at the hospital revealed that on average, the hospital uses 200 of the 6.8 cubic meter cylinders supplied by British Oxygen Company (BOC) Kenya or about five cylinders per ward per day.
"
227,"The economic success stories of recent years have followed different paths with far more government involvement in Ethiopia and more market-driven models in Ghana and Kenya.
"
228,"Nevertheless, two large shipments of Chinese weapons to Juba, via Mombasa in Kenya, while legal due to the lack of any arms embargo, ensured the SPLA was well-supplied for the ongoing civil war: the shipments included more than 27 million rounds of small-calibre ammunition, as well as rockets, grenades, missiles, pistols assault rifles and machine guns.
"
229,"In the Great Lakes region, Kenya and Tanzania have set a practice that leaders must change after every five or ten years and they change only democratically through elections.
"
230,"Tanzania has recently discovered huge gas deposits and Kenya on top of oil, has made huge technological and infrastructural investments opening itself up for the international investor.
"
