,row,col,frozen_col,readable,seeded_doc
51,uganda-Kampala,karamoja | kampala,False,"42. However, in Kampala, given the nature of businesses, the area of operation or SACCOs will be within the place of work; for example taxi parks, boda boda stages, markets and offices, among others.",False
52,uganda-Kampala,karamoja | kampala,False,"43. The same expressway which is a toll road like the Kampala Entebbe Expressway will provide road users with an easy link between the international airport and the beautiful home of the Nile River through the bustling business capital, Kampala.",False
53,uganda-Kampala,karamoja | kampala,False,"44. On his way back after the funeral, Paul Kavuma passed through Nairobi and he narrated the whole story of what happened in Kampala and London when Mutesa was in exile before and after he passed away.",False
54,uganda-Kampala,karamoja | kampala,False,45. Ms. Mukumbya was speaking to reporters after presenting the strategic plan to a group of stakeholders during an event held at dfcu head offices in Kampala.,False
55,uganda-Kampala,karamoja | kampala,False,46. Kitutu had spent nine days in Luzira Prison following her remand on April 6 when she was charged with loss of public property and conspiracy to defraud the government at the Anti-Corruption Court in Kampala.,False
56,uganda-Kampala,karamoja | kampala,False,"47. During the Christmas season, Sobi had addressed journalists and confessed to a series of murders and robberies around Kampala.",False
57,uganda-Kampala,karamoja | kampala,False,48. Sources privy to the meeting told URN that the ministers and their technocrats held a closed-door ministerial meeting at Protea Hotel in Kampala.,False
58,uganda-Kampala,karamoja | kampala,False,"49. It is, unfortunate that currently most judicial officers line up at the Chief Magistrate court of Kampala at Buganda Road merely to have access to live video conferencing and leave their court premises wherever they are situated.",False
59,uganda-Kampala,karamoja | kampala,False,"52. On the issue of Nabakooba, she told me that Zaake brought hooligans from Kampala to embarrass Nabakooba at the funeral.",False
60,uganda-Kampala,karamoja | kampala,False,"53. Bikorwomuhangi was detained at RRU headquarters in Kireka, a Kampala suburb.",False
61,uganda-Kampala,karamoja | kampala,False,"55. Before, the meeting with Thomas, President Museveni had in July met with Blinken s Russian counterpart, Foreign Minister Sergei Lavrov who visited him in Kampala.",False
62,uganda-Kampala,karamoja | kampala,False,"61. She, however, lost to an independent in the last elections, something she attributes to corrupt leaders who ganged up against her as she fought to protect a large piece of land in Kampala that President Museveni had given to PWDs.",False
63,uganda-Kampala,karamoja | kampala,False,"62.  Ongwen, says Oola, should be looked at like any other child in Kampala or Gulu had that child been abducted.",False
64,uganda-Kampala,karamoja | kampala,False,"66. Dr Byarugaba Baterana, the executive director of the Mulago National Referral Hospital in Kampala told reporters that a further nine people who had been admitted at the hospital ward had died of their injuries.",False
65,uganda-Kampala,karamoja | kampala,False,"68. This is confirmed by the Secretary to the Treasury, Keith Muhakanizi s remarks to the diplomats and economists at the International Monetary Fund meeting held in Kampala in October last year.",False
66,uganda-Kampala,karamoja | kampala,False,69. The Anti-Corruption Court in Kampala today remanded her to Luzira until May 3.,False
67,uganda-Kampala,karamoja | kampala,False,70. He told a press conference in Kampala that Hepatitis B vaccination is free of charge in all government facilities adding that it s wasteful to give people more than one dose of the vaccine.,False
68,uganda-Kampala,karamoja | kampala,False,"73. Speaking to journalists at the energy ministry s headquarters in Kampala on Feb. 24, Eng.",False
69,uganda-Kampala,karamoja | kampala,False,"74. This retreat is a unique activity to get all ambassadors in one spot because they regularly meet in Kampala but only deliberate as a group once every year outside the capital, Gyezaho said.",False
70,uganda-Kampala,karamoja | kampala,False,"77. On Sunday, a few hours before Dr Hajj Bulaimu Muwanga Kibirige, popularly known as BMK after his eponymous group, was buried at the public Muslim cemetery he created in Nkoowe near Wakiso town, I was at Hotel Africana in Kampala.",False
71,uganda-Kampala,karamoja | kampala,False,"78.  People in Kampala listen to people who peddle false hoods, some of who say Coronavirus does not exist.",False
72,uganda-Kampala,karamoja | kampala,False,"79. Nankabirwa revealed this during a press conference at the Uganda Media Centre in Kampala, where she addressed the pressing matters related to the forthcoming Energy and Minerals Week 2023, scheduled for November 13-18.",False
73,uganda-Kampala,karamoja | kampala,False,"80. Hence, Museveni and other non-Baganda in Kampala, plus the Baganda of course, we are supporting the prosperity of many Baganda businessmen.",False
74,uganda-Kampala,karamoja | kampala,False,"82. He stormed Katwe, a Kampala suburb known for its manufacture of all sorts of electric appliances, especially those locally made, to get the first machines he used on the onset on top of his kitchen microwave to sterilize his tissues.",False
75,uganda-Kampala,karamoja | kampala,False,83. The minister of Finance Matia Kasaija has presented a $12m (Shs 140bn) request to parliament s committee on the national economy to operationalise the Eco-bus project in Kampala central district.,False
76,uganda-Kampala,karamoja | kampala,False,"84. The opening day of Ugandan artist Donald Augustine Wasswa aka Waswad at Afriart in Kampala has gone down in local art lore because of one of the works on display titled controversially as `My Screw ups 1, 2& 3 .",False
77,uganda-Kampala,karamoja | kampala,False,"85. The official launch of the Tororo Girls School Alumni Association was held on September 23, 2022 at Golf Course Hotel, in Kampala with First Deputy Prime Minister, Minister of East African Community Affairs and Woman Member of Parliament for Kamuli District Kadaga, as chief guest.",False
78,uganda-Kampala,karamoja | kampala,False,"88. Annet Nabweteme, a resident of Kamombogga in Kampala thinks that Kalembe should identify women especially single mothers who took care of families during the lockdown.",False
79,uganda-Kampala,karamoja | kampala,False,"89. However addressing journalists at the Uganda Media Center in Kampala minister Lokeris said government had already responded to the request, giving assurance that work has not stopped.",False
80,uganda-Kampala,karamoja | kampala,False,"90. Bashir Twesigye, the executive director of Civic Response on Environment and Development (CRED), a Kampala-based civil society organisation, says the government s disaster risk response remains inadequate.",False
81,uganda-Kampala,karamoja | kampala,False,"94. And so, Mr President today sanctions deployment of commandos in Kampala.",False
82,uganda-Kampala,karamoja | kampala,False,95. The study findings were shared at the launch of the tenth edition of the Agricultural Financial Yearbook that was held recently at Imperial Royale hotel in Kampala.,False
83,uganda-Kampala,karamoja | kampala,False,"97. President Yoweri Museveni has donated Shs 300 million towards the construction of the Uganda Orthodox Cathedral at Lubya Hill, in Rubaga Division in Kampala.",False
84,uganda-Kampala,karamoja | kampala,False,"98. With the help of former State Minister for Agriculture Hope Mwesigye, Mbabazi reportedly met the delegates at Emerald Hotel, a small establishment in Kampala, coached them, and paid them amounts between Shs 500,000 1,000,000 each.",False
85,uganda-Kampala,karamoja | kampala,False,"99. Sources say from this point, President Museveni embarked on a silent mission to reduce the BeijingMbabazi influence in Kampala.",False
86,uganda-Kampala,karamoja | kampala,False,"100. On April 19, the hostility erupted once again as hundreds of traders in the capital city, Kampala, staged a closed-shop protest and marched along some streets brandishing placards telling the Chinese to Leave our country.",False
87,uganda-Kampala,Unassigned,False,"9. No, the light rail is for the Greater Kampala Metropolitan Area (GKMA) that will ease transportation in and around Kampala.",False
88,uganda-Kampala,Unassigned,False,10. Lake Mburo is the closest park to Kampala and can be accessed by road or air.,False
89,uganda-Kampala,Unassigned,False,"15. Kampala and Havana support each other in international forums through the Non-Aligned Movement, the Group of 77 plus China and the UN to defend and protect their interests and strategic political and economic associations.",False
90,uganda-Kampala,Unassigned,False,"33. By the end of September, which is about midway the FY, they had received only Shs34 million the equivalent of one-month pay for many CEOs in Kampala.",False
91,uganda-Kampala,Unassigned,False,39.  There are games in Kampala that people play.,False
92,uganda-Kampala,Unassigned,False,"50. A Chinese financed Kampala Entebbe Expressway, linking the capital Kampala to the airport, is already in use.",False
93,uganda-Kampala,Unassigned,False,59. Judiciary also failed to account for Shs 84 million paid to officers of the registry High court in Kampala.,False
94,uganda-Kampala,Unassigned,False,"65. Our urban areas, especially Kampala, are growing rapidly.",False
95,uganda-Kampala,Unassigned,False,67. We all know what is happening in Kampala; Kampala is now very difficult to plan for because it was not planned for previously.,False
96,uganda-Kampala,Unassigned,False,"72. You find Tanzanian singers cannot go to Nairobi or Kampala, they are closed.",False
97,uganda-Kampala,Unassigned,False,"75. We have already supported the youth of Kampala, Rukungiri etc.",False
98,uganda-Kampala,Unassigned,False,81. This was during the multi-stakeholder platform workshop in Kampala.,False
99,uganda-Kampala,Unassigned,False,"86. People in paid (wage) employment increased between 2002 and 2014, but much more in the Kampala, western, and central regions than in the eastern and northern regions.",False
100,uganda-Kampala,Unassigned,False,"87. Whereas I was in Kampala when she was arrested, I met her brother and also made a few calls to ensure that justice was served, the good thing with those countries is that systems work and when you are innocent, like she was, you gain your freedom.",False
101,uganda-Karamoja,uganda | people,False,"125. Health programmes, especially, immunization and peace, have helped the population of Karamoja to recover and grow from 190,000 in 1980 when I went there as Minister of Defence to now about 1.2 million people.",False
102,uganda-Karamoja,uganda | people,False,"126. In December 2021, the Parliament passed a supplementary budget worth 39 billion shillings to support various programs in Karamoja.",False
103,uganda-Karamoja,uganda | people,False,130. The Commission is concluding its three day s engagement with the communities and local leaders in Karamoja today.,False
104,uganda-Karamoja,uganda | people,False,135. We are raising funds to build latrines in Karamoja this August.,False
105,uganda-Karamoja,uganda | people,False,"143.  On a good note, Karamoja region was well represented.",False
106,uganda-Karamoja,uganda | people,False,150. The school feeding programme is therefore part of both the long term and short-term solution to hunger in Karamoja.,False
107,uganda-Karamoja,uganda | people,False,"152. With regards to refugees and Karamoja, WFP will always provide that safety net.",False
108,uganda-Karamoja,uganda | people,False,"155. Check, for example, where money is given to people for the construction of boreholes in Karamoja and it is stolen and people suffer.",False
109,uganda-Karamoja,uganda | people,False,159. We have not had any well coordinated approach to dealing with Karamoja problem.,False
110,uganda-Karamoja,uganda | people,False,"160. He also expressed concerns about the proliferation of cultural associations in Karamoja, often lacking a clear vision and driven by self-interest advocacy.",False
111,uganda-Karamoja,uganda | people,False,162. A similar situation is also developing in Karamoja region where hunger has claimed 12 people while others on the verge of dying.,False
112,uganda-Karamoja,uganda | people,False,"166. She also sees diversification of food crops, livestock breeds, harvesting water for production, elimination of dependence on food aid and boosting the school feeding programme as solutions to Karamoja s problems.",False
113,uganda-Karamoja,uganda | people,False,"167. For example, Goal and Concern were amongst the first NGOs to support Karamoja during the 1970s famine.",False
114,uganda-Karamoja,uganda | people,False,172. We have built houses for widowed mothers and we have built a school in Karamoja.,False
115,uganda-Karamoja,uganda | people,False,174. He said donors should invest in both emergency response and long-term solutions to resolve the hunger and malnutrition crisis in Karamoja.,False
116,uganda-Karamoja,uganda | people,False,177. Government has welcomed a 23m pound UK investment in the Karamoja nutrition project.,False
117,uganda-Karamoja,uganda | people,False,"178.  The people in Karamoja have been voting for the (NRM) government for years but their fortunes have not changed, Muguzi said.",False
118,uganda-Karamoja,uganda | people,False,"179. As a region, Karamoja still stands challenged, with education, food-water-energy deprivation, health, and early childhood pregnancies, and now, reports of insecurity.",False
119,uganda-Karamoja,uganda | people,False,180. The address also comes at a time the people in the Karamoja sub region are struggling with food insecurity that has seen over 40 people starve to death.,False
120,uganda-Karamoja,uganda | people,False,181. Well the people in Karamoja will be black and the ones in the Silicon Valley will be white.,False
121,uganda-Karamoja,uganda | people,False,"195.  When you use the force in Karamoja you will never achieve what you want but apply peace and dialogue, he said.",False
122,uganda-Karamoja,karamoja | kampala,False,103. Akiriket is a traditional shrine where elders in Karamoja meet and invoke their gods over issues affecting the land.,False
123,uganda-Karamoja,karamoja | kampala,False,104. The task force will interview witnesses and record statements from a number of government officials including Minister for Karamoja to establish their involvement in the iron sheets saga.,False
124,uganda-Karamoja,karamoja | kampala,False,"105. Arenger says even if she is a woman and some of the projects available could benefit her, she is worried that if the soaring number of unemployed youths in Karamoja is not catered for soon, the region may slide back into lawlessness.",False
125,uganda-Karamoja,karamoja | kampala,False,107. Some of the placards condemned the Uganda People s Defense Force-UPDF manning security in Karamoja while others attacked the ruling government for failing to live up to its promise of securing Ugandans.,False
126,uganda-Karamoja,karamoja | kampala,False,"108. Kato s story explored how science, particularly biotechnology, can help alleviate the suffering of Karamoja s pastoral communities.",False
127,uganda-Karamoja,karamoja | kampala,False,"109. Ssempijja pointed out that among the key current UPDF tasks that remain unfunded include; the ongoing operation Shujja against Allied Democratic Forces ADF, an Islamic rebel group in the DRC which requires 21.5 billion Shillings and the disarmament exercise in Karamoja region dubbed salama kwa wote that needs 27.5 billion Shillings.",False
128,uganda-Karamoja,karamoja | kampala,False,"110. Prof Orach says in Karamoja, sex is for procreation purposes and almost every pregnancy is intended, hence the lower numbers.",False
129,uganda-Karamoja,karamoja | kampala,False,"111. Enanga warned witnesses in the ongoing investigation into the Karamoja iron sheets scandal to heed to their summons, noting that the invitation is meant to either prove the allegations against them or disprove them.",False
130,uganda-Karamoja,karamoja | kampala,False,"112. John Lodungokol, the Assistant Commissioner crop production in the Ministry of Agriculture told URN on Sunday that the environmental degradation in Karamoja was the main cause of flooding that always hits the region.",False
131,uganda-Karamoja,karamoja | kampala,False,113. It was hoped that the interventions would persuade the people of Karamoja to embrace disarmament and abandon cattle rustling.,False
132,uganda-Karamoja,karamoja | kampala,False,"114. However, it seems we have always looked at Karamoja as a place that deserves pity hence the massive plan to donate cheap iron sheets that we hear didn t even reach those who needed them.",False
133,uganda-Karamoja,karamoja | kampala,False,"115.  Despite having former powerhouses such as Kololo SS, Old Kampala SS and Lubiri SS, it s a pleasure to have Abim from Karamoja region.",False
134,uganda-Karamoja,karamoja | kampala,False,"116. Col. Peter Akakunda, the 403 Brigade Commander advised the youth to stop cattle raids so that peace and development can fully be realized in Karamoja.",False
135,uganda-Karamoja,karamoja | kampala,False,117. Court has temporarily halted the hearing of a case in which minister for Karamoja Karamoja Affairs Mary Gorreti Kitutu is accused of causing loss of public property after her alleged involvement in the diversion of iron sheets meant for the vulnerable people in Karamoja sub-region.,False
136,uganda-Karamoja,karamoja | kampala,False,"118. In April, this year, President Museveni also launched a disarmament exercise in Karamoja and deployed the military to carry it out following a spate of murders and theft of thousands of livestock, mainly cattle.",False
137,uganda-Karamoja,karamoja | kampala,False,"119. When I first went to Karamoja in 2003, it was a different place and we worked very hard together with others [Denmark and the EU] alongside the Uganda Human Rights Commission, the government, civil society actors, traditional leaders and even the young warriors to come to a situation where the gun could be left behind.",False
138,uganda-Karamoja,karamoja | kampala,False,"120. Peter Mugema, the Iganga Municipality MP said famine is affecting people in his constituency too, citing that people are dying of starvation and that the government should upscale its interventions beyond Karamoja.",False
139,uganda-Karamoja,karamoja | kampala,False,"121. Adjumani East MP, James Mamawi, also urged government to invest in production as a long term plan to mitigate famine and hunger in Karamoja and reduce the dependence syndrome on relief food.",False
140,uganda-Karamoja,karamoja | kampala,False,122. Sseremba told the court that all those activities had to be fulfilled through the procurement of goats and iron sheets to be distributed at no cost to the targeted beneficiaries or the people of Karamoja.,False
141,uganda-Karamoja,karamoja | kampala,False,"124. The vast majority of FGM takes place in the regions of Karamoja and Sebei, where overall prevalence is reported to be 26.7%.",False
142,uganda-Karamoja,karamoja | kampala,False,"127. The report shows that food insecurity in Karamoja can be attributed to multiple factors, including insecurity, unpredictable weather patterns leading to inadequate food production, and poor health, hygiene, and sanitation practices.",False
143,uganda-Karamoja,karamoja | kampala,False,"128. Last week the Karamoja Minister, Mary Gorreti Kitutu was remanded to Luzira prison by Anti- Corruption Court for allegedly diverting iron sheets meant for the Karamoja community empowerment programme.",False
144,uganda-Karamoja,karamoja | kampala,False,"129. According to the survey of 2019 by Ecological Christian organisation, an NGO advocating for the rights of the Karimojong on land matter, 98.7% of land in Karamoja have been liencesed and there are 178 investors holding exploration and mining leases ranging from 10 to 40 years.",False
145,uganda-Karamoja,karamoja | kampala,False,131. Lugoloobi is among the three ministers implicated in the theft of iron sheets meant to benefit vulnerable groups in Karamoja sub-region.,False
146,uganda-Karamoja,karamoja | kampala,False,"132.  Am telling you the government will continue spending a lot of resources pacifying Karamoja for a short period but stable peace will only return to Karamoja when Karimojong children are forcefully taken to School and government does psychological disarmament, he said.",False
147,uganda-Karamoja,karamoja | kampala,False,"133. The proposed open-air museum, located in Iriiri Sub County, will serve as a one-stop center where fossils will be exhibited, allowing visitors to witness these remarkable findings before continuing their journeys to explore the rest of Karamoja.",False
148,uganda-Karamoja,karamoja | kampala,False,"134. During the same press conference, Baryomunsi castigated police for apprehending ministers implicated in the Karamoja iron sheets scandal during hours they cannot be produced in court.",False
149,uganda-Karamoja,karamoja | kampala,False,"136.  Mining development could be a real boon to the people of Karamoja, bringing jobs and better security, services, and basic infrastructure, said Daniel Bekele, the Africa director at Human Rights Watch, However it is still unclear how the people of Karamoja will benefit, if at all, from mining, or how the government intends to protect their rights during this process.",False
150,uganda-Karamoja,karamoja | kampala,False,"137. It happened that the first batch of 12,000 iron sheets were procured for Karamoja but as early as June, 2022, CID operatives had started investigating Kitutu and Agnes Nandutu, the state minister for Karamoja, over mismanagement of the region s relief items.",False
151,uganda-Karamoja,karamoja | kampala,False,"138. Nandutu seeks criminal proceedings against her in relation to the theft of 2000 pieces of Iron sheets that were meant to empower vulnerable Karamoja communities be halted until the Constitutional Court can rule on the validity of the charge which she claims to be vague, unclear, and too broad to enable her defend her herself.",False
152,uganda-Karamoja,karamoja | kampala,False,"139. While delivering his homily, Archbishop Paul Ssemogerere said he was shocked to see media reports of people from the Karamoja region starving and others surviving on leaves yet in other parts of the Country food is in excess.",False
153,uganda-Karamoja,karamoja | kampala,False,"141. Dr. Paul Okullo, director at the Nabuin Zonal Agricultural Research and Development Institute said the government now needs to popularize growing of commercial trees in the Karamoja region.",False
154,uganda-Karamoja,karamoja | kampala,False,"142. While appearing on NBS television last week, Minister of State for Karamoja Affairs and Bududa District MP, Agnes Nandutu mocked the National Unity Platform s gesture to donate food items to the Karamoja region saying it was to seek cheap popularity.",False
155,uganda-Karamoja,karamoja | kampala,False,"144. The motion was tabled by Kumi Woman MP, Monica Amoding on behalf of Lango, Teso and Karamoja legislators.",False
156,uganda-Karamoja,karamoja | kampala,False,"146. Brigadier Gen Joseph Balikudembe, the UPDF 3rd Division Commander turned down the request saying the leadership of Karamoja had been accused of conniving with cattle rustlers.",False
157,uganda-Karamoja,karamoja | kampala,False,151. The 82 are part of the over 200 warriors arrested during the cordon and search operations in Karamoja where 58 guns and over 300 ammunition have been recovered.,False
158,uganda-Karamoja,karamoja | kampala,False,"153. Due to the years of turbulence in Karamoja, the kob population in Kidepo was down to just six, according to a recent aerial survey.",False
159,uganda-Karamoja,karamoja | kampala,False,154. The resolution was reached during the 8th extra-ordinary general assembly of the North East Regional Football Association which covers Teso and Karamoja held at Steron Walls in Soroti city on Friday.,False
160,uganda-Karamoja,karamoja | kampala,False,"157. Simon Lokodo died, MPs from his home region, Karamoja, demanded that government fills Lokodo s position at the Uganda Human Rights Commission with one of their own.",False
161,uganda-Karamoja,karamoja | kampala,False,"158.  For example, he is remembered as the first President in post-Independence Africa to donate his salary to the development of Karamoja region, which by the time of our independence had been neglected by the colonial establishment remarked Assoc.",False
162,uganda-Karamoja,karamoja | kampala,False,"161. What more proof of the President s commitment to ending graft and misuse of public funds and abuse of office does one want, especially with the Minister of Karamoja sleeping in Prison at the time of writing this article (1am).",False
163,uganda-Karamoja,karamoja | kampala,False,"165. The entire Karamoja region and it is not a small region; we have the Matheniko, Bokora, Jie, Pokot, Dodoth, Pian and Ik; in that entire Karamoja sub-region, there is not one member of staff that comes from there, Oulanyah said.",False
164,uganda-Karamoja,karamoja | kampala,False,"168. Speaking on the issue of security, the president said his government had defeated Kony rebels in the north, the rustlers in Karamoja, and the ADF in the DR Congo.",False
165,uganda-Karamoja,karamoja | kampala,False,"169. Napak District Woman MP, Faith Nakut asked the Speaker to ensure the committee charged with the inquiry of the iron sheets saga be facilitated to travel to Karamoja.",False
166,uganda-Karamoja,karamoja | kampala,False,"171. The crowd had earlier on demanded to know if Bobi Wine was coming, thanks to the concert posters and the month- long radio adverts that had him assuring Karamoja he would be present, but they understood when the MC explained.",False
167,uganda-Karamoja,karamoja | kampala,False,"176. He stressed the need for government to mobilise for investment and industrialisation in Karamoja; saying that the area is rich in natural resources such as limestone (300 million tonnes) for cement and marble production, fruit processing, leather tanning, meat processing, honey production, gold mining and tourism.",False
168,uganda-Karamoja,karamoja | kampala,False,"182. DPP Jane Frances Abodo, herself a daughter of Karamoja, last week closed 17 case files of some ministers and other top officials implicated in the iron sheets scandal due to lack of sufficient evidence.",False
