,tokens
31,"['something', 'else', 'horticulture', 'competition', 'right', 'catch']"
32,"['cold', 'dry', 'ssf', 'end', 'november', 'december', 'beginning', 'february', 'horticulture', 'rainy', 'season', 'vary', 'mid', 'june', 'sept', 'july', 'mid', 'october', 'depend', 'rain']"
33,"['could', 'see', 'horticulture', 'harvest', 'around', 'january', 'early', 'february', 'would', 'see', 'lot', 'farm', 'onion', 'tomato']"
34,"['care', 'miller', 'would', 'come', 'around', 'april', 'would', 'see', 'rice', 'farm', 'commercialization', 'cold', 'dry', 'horticulture', 'crop']"
35,"['feb', 'april', 'would', 'see', 'remnant', 'commercialization', 'onion', 'tomato', 'plus', 'growth', 'hot', 'dry', 'rice']"
36,"['look', 'reimbursement', 'table', 'note', 'onion']"
37,"['bulletin', 'say', 'remain', 'credit', 'come', 'credit', 'loan', 'onion', 'suppose', 'pay', 'june', 'six', 'month', 'onion', 'harvest', 'full', 'credit', 'reimbursement']"
38,"['cold', 'season', 'plant', 'horticulture', 'season', 'rice']"
39,"['farmer', 'prefer', 'horticulture', 'cold', 'season', 'time', 'sell', 'start', 'rice', 'rainy', 'season']"
40,"['year', 'farmer', 'want', 'grow', 'potato', 'go', 'onion']"
41,"['horticulture', 'commercialization']"
42,"['rice', 'subsistence', 'horticulture', 'market']"
43,"['get', 'credit', 'horticulture', 'government', 'priority']"
44,"['tomato', 'industry', 'similar', 'system', 'extension', 'bank', 'onion', 'tie', 'private', 'sector', 'organization', 'trader', 'credit']"
45,"['cotton', 'peanut', 'rice', 'tomato', 'crop', 'easy', 'access', 'credit']"
46,"['get', 'credit', 'maybe', 'pay', 'horticulture', 'good', 'option', 'might', 'make', 'money', 'even', 'rice']"
47,"['input', 'expensive', 'horticulture', 'rice', 'payoff', 'high', 'investment']"
48,"['onion', 'head', 'start']"
49,"['divide', 'five', 'department', 'horticulture', 'fishery', 'forestry', 'livestock', 'health', 'animal', 'science', 'social', 'science', 'politic', 'focus', 'macroeconomic', 'policy']"
50,"['government', 'let', 'farmer', 'know', 'certain', 'fertilizer', 'certain', 'crop', 'dap', 'rice', 'horticulture', 'producer', 'include', 'formula', 'like']"
51,"['maybe', 'crop', 'support', 'credit', 'time', 'use', 'fertilizer', 'rice', 'cropping', 'time', 'come', 'tomato', 'onion', 'get', 'fertilizer', 'system']"
52,"['change', 'might', 'work', 'within', 'plot', 'create', 'furrow', 'billon', 'protect', 'onion', 'tomato', 'much', 'water']"
53,"['farmer', 'plant', 'one', 'season', 'either', 'specialize', 'rice', 'tomato', 'onion']"
54,"['season', 'already', 'know', 'crop', 'appropriate', 'rice', 'appropriate', 'horticulture']"
55,"['third', 'availability', 'seed', 'horticulture', 'tomatoe', 'onion', 'seed', 'import']"
56,"['extend', 'tomato']"
57,"['finally', 'access', 'industrial', 'firm', 'tomato', 'rice', 'thing', 'contract', 'farmer', 'cooperative', 'processor']"
58,"['rice', 'peanut', 'cotton', 'tomato', 'facilitate', 'access', 'credit', 'mechanism', 'clear', 'firm', 'facilitate']"
59,"['saving', 'might', 'go', 'contrarian', 'plant', 'onion', 'plant', 'everyone', 'else', 'plant', 'need', 'access', 'credit', 'tomatoe', 'price', 'low']"
60,"['know', 'happen', 'last', 'season', 'last', 'year', 'everyone', 'plant', 'onion', 'price', 'low', 'probably', 'change']"
61,"['farmer', 'imitative', 'go', 'tomato', 'perhaps', 'someone', 'else', 'go', 'onion']"
62,"['seed', 'operator', 'tomato', 'onion', 'b', 'c', 'seed', 'import', 'seed', 'potato', 'see', 'local', 'industry']"
63,"['see', 'farmer', 'horticulture', 'like', 'salad', 'tomato']"
64,"['horticulture', 'instead', 'rice', 'horticulture', 'rice', 'two', 'different', 'plot']"
65,"['ancar', 'srv', 'leave', 'rice', 'advise', 'extension', 'handle', 'horticulture', 'srv']"
66,"['ndiaye', 'horticulture', 'region', 'kaolack']"
67,"['tomato', 'mostly', 'dagana', 'onion', 'suppose', 'podor', 'dr', 'fall', 'confirm', 'datum', 'confirm', 'expectation']"
68,"['value', 'chain', 'onion', 'glut']"
69,"['yes', 'guess', 'constraint', 'cheryl', 'mention', 'real', 'exist', 'onion', 'vc']"
70,"['lot', 'farmer', 'pick', 'onion', 'economically', 'profitable', 'rice']"
71,"['government', 'support', 'market', 'regulation', 'stop', 'import', 'onion', 'local', 'onion', 'sell']"
72,"['law', 'supply', 'demand', 'determine', 'everyone', 'flood', 'onion', 'price', 'drop']"
73,"['people', 'claim', 'regulation', 'fail', 'people', 'import', 'onion', 'case']"
74,"['quality', 'high', 'import', 'onion', 'still', 'squash', 'little', 'farmer']"
75,"['holiday', 'big', 'demand', 'onion', 'thing', 'sheep', 'day']"
76,"['podor', 'lead', 'onion', 'produce', 'region', 'problem', 'everywhere', 'different', 'scale']"
77,"['regardless', 'region', 'produce', 'onion', 'cold', 'dry', 'season', 'storage', 'infrastructure', 'quality', 'low', 'require', 'market', 'consumer', 'onion', 'glut', 'make', 'life', 'easy', 'tomato', 'grower']"
78,"['use', 'plot', 'onion', 'space', 'tomato']"
79,"['international', 'market', 'impact', 'domestic', 'onion', 'price']"
80,"['senegal', 'get', 'onion', 'holland', 'scandinavia', 'france']"
81,"['lot', 'onion', 'internationally', 'produce', 'lot', 'locally', 'shield', 'price', 'hike']"
82,"['good', 'local', 'production', 'onion', 'increase', 'world', 'market', 'competition', 'unfair', 'import', 'onion', 'high', 'quality', 'unless', 'use', 'local', 'onion', 'like']"
83,"['people', 'know', 'store', 'import', 'onion', 'local', 'onion']"
84,"['dr', 'fall', 'overheard', 'lady', 'complain', 'local', 'onion', 'much', 'water']"
85,"['year', 'condition', 'really', 'good', 'onion', 'expect', 'market', 'import', 'stop']"
86,"['people', 'might', 'well', 'cropping', 'onion', 'use']"
87,"['onion', 'less', 'damage', 'crop', 'even', 'though', 'still', 'weed', 'stuff']"
88,"['last', 'year', 'onion', 'price', 'high', 'check', 'hypothetical', 'everyone', 'switch', 'onion']"
89,"['podor', 'soil', 'appropriate', 'onion', 'rice']"
90,"['guess', 'field', 'see', 'lot', 'opportunity', 'onion', 'farmer', 'world', 'market', 'grow', 'onion', 'production', 'dr', 'fall', 'believe', 'coming', 'year', 'difficult', 'produce', 'lot', 'onion', 'price', 'low', 'compare', 'farmer', 'think']"
91,"['podor', 'onion', 'region', 'usually', 'tomato', 'onion', 'think', 'bad', 'year', 'lot', 'people']"
92,"['dagana', 'mostly', 'rice', 'cropping', 'base', 'podor', 'mostly', 'onion', 'tomato']"
93,"['may', 'crop', 'rice', 'tomatoe', 'cold', 'dry', 'mostly', 'orient', 'towards', 'onion', 'cold', 'dry']"
94,"['cold', 'season', 'podor', 'people', 'onion']"
95,"['onion', 'zone']"
96,"['dagana', 'local', 'tomato', 'industry', 'people', 'mostly', 'orient', 'towards', 'tomato']"
97,"['term', 'variety', 'tomatoe', 'onion', 'choose', 'base', 'market', 'demand', 'people', 'go', 'see', 'kind', 'rice', 'people', 'want']"
