,Unnamed: 0,readable,uganda-Kampala,uganda-Karamoja,uganda-Kenya,uganda-Rwanda,uganda-Uganda,all,stripped
16,16,"On Aug.9 the Ministry of Energy headquarters at Amber House in Kampala was a bee-hive of activity.
",1,0,0,0,0,1,aug ministry energy headquarters amber house kampala bee hive activity
17,17,"McDade’s comment kicked up a storm in government circles in Kampala.
",1,0,0,0,0,1,mcdade comment kick storm government circle kampala
18,18,"As such, the management of Top radio and Top TV, owned by Pastor Jackson Ssenyonga of the Christian Life Church in Bwaise on the outskirts of Kampala, have had an overhaul of their daily political talk shows.
",1,0,0,0,0,1,management top radio top tv own pastor jackson ssenyonga christian life church bwaise outskirt kampala overhaul daily political talk show
19,19,"The reason people are exporting without documents is because UEPB, which awards the certificate of origin in preferential markets, has only one office in Kampala.
",1,0,0,0,0,1,reason people export without document uepb award certificate origin preferential market one office kampala
20,20,"You don’t go to Kampala and pick up people and then line them up to vote for you as president general; that is mob justice.
",1,0,0,0,0,1,go kampala pick people line vote president general mob justice
21,21,"URN has established that government has recalled a total of 85 Chinese nationals who arrived in the country on Tuesday in Kampala for institutional quarantining.
",1,0,0,0,0,1,urn establish government recall total chinese national arrive country tuesday kampala institutional quarantining
22,22,"Finance minister Matia Kasaija, while delivering the budget at Kololo Ceremonial Grounds in Kampala on Tuesday, June 14, 2022, said the overriding goal of the ruling government is to achieve socio-economic transformation for the benefit of all Ugandans and thus improve their lives.
",1,0,0,0,0,1,finance minister matia kasaija deliver budget kololo ceremonial ground kampala tuesday june say override goal rule government achieve socio economic transformation benefit ugandans thus improve life
23,23,"She was speaking at a press conference held in her Office in Kampala on Thursday on the upcoming Annual Prosecutor’s symposium and the 6th Joan Kagezi Memorial Lecture that is scheduled to take place next week from April 25th to 28th.
",1,0,0,0,0,1,speak press conference hold office kampala thursday upcoming annual prosecutor symposium th joan kagezi memorial lecture schedule take place next week april th th
24,24,"She said she experienced this once when she was being driven to a hotel in Kampala.
",1,0,0,0,0,1,say experience drive hotel kampala
25,25,"Mogadishu, Somalia | THE INDEPENDENT | The Uganda People’s Defence Forces (UPDF) headquarters in Kampala has confirmed that a few days ago, Al-Shabaab militants were repulsed in an attempted attack on their contingent in Somalia.
",1,0,0,0,0,1,mogadishu somalia independent uganda people defence force updf headquarters kampala confirm day ago al shabaab militant repulse attempt attack contingent somalia
26,26,"So, for most Ugandans outside of Kampala, watching TV means paying a ‘subscription tax’ to pay-TV providers in South Africa and China, the dominant players in the industry.
",1,0,0,0,0,1,ugandan outside kampala watch tv mean pay subscription tax pay tv provider south africa china dominant player industry
27,27,"With the scare in Kampala, the public is being encour ¬aged to be keen on symp ¬toms like, diarrhea, fever, vomiting, dehydration and decreased urine output and report any case for imme ¬diate treatment.
",1,0,0,0,0,1,scare kampala public encour aged keen symp tom like diarrhea fever vomit dehydration decrease urine output report case imme diate treatment
28,28,"Visiting presidents show up so frequently that the grassy verge outside its factory in Kampala will soon become a forest.
",1,0,0,0,0,1,visit president show frequently grassy verge outside factory kampala soon become forest
29,29,"Meanwhile, another source claims Otengo (our head of mission in Addis), who the lockdown found in Kampala, also learnt about Kutesa’s letter on social media.
",1,0,0,0,0,1,meanwhile another source claim otengo head mission addis lockdown find kampala learn kutesa letter social medium
30,30,"However, as you prepare to comb the streets of Kampala looking for a job, don’t limit that degree to only securing formal employment because that might take forever to happen.
",1,0,0,0,0,1,however prepare comb street kampala look job limit degree secure formal employment might take forever happen
31,31,"Agaliawamu Gegalumaenyama, Kampala.
",1,0,0,0,0,1,agaliawamu gegalumaenyama kampala
32,32,"Besigye also says security forces also besieged his home and raided the party’s main office in Kampala, something he claims the government has often denied.
",1,0,0,0,0,1,besigye say security force besiege home raid party main office kampala something claim government often deny
33,33,"By the end of September, which is about midway the FY, they had received only Shs34 million – the equivalent of one-month pay for many CEOs in Kampala.
",1,0,0,0,0,1,end september midway fy receive shs million equivalent one month pay many ceo kampala
34,34,"The purpose of the long winding trip, 151 kilometres northwest of Kampala, was to witness the progress made in the US$500, 0000 project of strengthening resilience of refugees and the host communities to absorb, recover and adapt sustainably to shocks.
",1,0,0,0,0,1,purpose long winding trip kilometre northwest kampala witness progress make us project strengthen resilience refugee host community absorb recover adapt sustainably shock
35,35,"Razor Blade made a lot of news when Solomon Sserwanja debuted his investigative story about deadly gangs in Kampala.
",1,0,0,0,0,1,razor blade make lot news solomon sserwanja debut investigative story deadly gang kampala
36,36,"Speaking at the 2023 Stanbic Global Financial Markets Forum in Kampala, Economist on Tuesday, Dr Fred Muhumuza warned that the government is acquiring too much expensive debt especially in form of government treasuries.
",1,0,0,0,0,1,speak stanbic global financial market forum kampala economist tuesday dr fred muhumuza warn government acquire much expensive debt especially form government treasury
37,37,"My father was calling him to warn the headmaster from Obote College not to come back to Lira, because he had come to Kampala for central marking.
",1,0,0,0,0,1,father call warn headmaster obote college come back lira come kampala central mark
38,38,"Florence Atwongyeire, Kampala.
",1,0,0,0,0,1,florence atwongyeire kampala
39,39,"“There are games in Kampala that people play.
",1,0,0,0,0,1,game kampala people play
40,40,"It can happen anywhere, even in Kampala,â€ Disaster Preparedness minister Tarsis Kabwegyere told The Independent.
",1,0,0,0,0,1,happen anywhere even kampala disaster preparedness minister tarsis kabwegyere tell independent
41,41,"A friend I have known for the last ten years, and does business in downtown Kampala – a hardworking folk for certain – has said to me many times that where they once imported 50 containers of merchandise from China or Turkey, they now import 10 or 15.
",1,0,0,0,0,1,friend know last ten year business downtown kampala hardworke folk certain say many time import container merchandise china turkey import
42,42,"However, in Kampala, given the nature of businesses, the area of operation or SACCOs will be within the place of work; for example taxi parks, boda boda stages, markets and offices, among others.
",1,0,0,0,0,1,however kampala give nature business area operation sacco within place work example taxi park boda boda stage market office among other
43,43,"The same expressway which is a toll road like the Kampala Entebbe Expressway will provide road users with an easy link between the international airport and the beautiful home of the Nile River through the bustling business capital, Kampala.
",1,0,0,0,0,1,expressway toll road like kampala entebbe expressway provide road user easy link international airport beautiful home nile river bustling business capital kampala
44,44,"On his way back after the funeral, Paul Kavuma passed through Nairobi and he narrated the whole story of what happened in Kampala and London when Mutesa was in exile before and after he passed away.
",1,0,0,0,0,1,way back funeral paul kavuma pass nairobi narrate whole story happen kampala london mutesa exile pass away
45,45,"Ms. Mukumbya was speaking to reporters after presenting the strategic plan to a group of stakeholders during an event held at dfcu head offices in Kampala.
",1,0,0,0,0,1,ms mukumbya speak reporter present strategic plan group stakeholder event hold dfcu head office kampala
46,46,"Kitutu had spent nine days in Luzira Prison following her remand on April 6 when she was charged with loss of public property and conspiracy to defraud the government at the Anti-Corruption Court in Kampala.
",1,0,0,0,0,1,kitutu spend nine day luzira prison follow remand april charge loss public property conspiracy defraud government anti corruption court kampala
47,47,"During the Christmas season, Sobi had addressed journalists and confessed to a series of murders and robberies around Kampala.
",1,0,0,0,0,1,christmas season sobi address journalist confess series murder robbery around kampala
48,48,"Sources privy to the meeting told URN that the ministers and their technocrats held a closed-door ministerial meeting at Protea Hotel in Kampala.
",1,0,0,0,0,1,source privy meeting tell urn minister technocrat hold closed door ministerial meeting protea hotel kampala
49,49,"It is, unfortunate that currently most judicial officers line up at the Chief Magistrate court of Kampala at Buganda Road merely to have access to live video conferencing and leave their court premises wherever they are situated.
",1,0,0,0,0,1,unfortunate currently judicial officer line chief magistrate court kampala buganda road merely access live video conferencing leave court premise wherever situate
50,50,"A Chinese financed Kampala Entebbe Expressway, linking the capital Kampala to the airport, is already in use.
",1,0,0,0,0,1,chinese finance kampala entebbe expressway link capital kampala airport already use
51,51,"Just imagine a person earning $1,000 in Kampala and another earning the same amount in New York.
",1,0,0,0,0,1,imagine person earn kampala another earn amount new york
52,52,"On the issue of Nabakooba, she told me that Zaake brought hooligans from Kampala to embarrass Nabakooba at the funeral.
",1,0,0,0,0,1,issue nabakooba tell zaake bring hooligan kampala embarrass nabakooba funeral
53,53,"Bikorwomuhangi was detained at RRU headquarters in Kireka, a Kampala suburb.
",1,0,0,0,0,1,bikorwomuhangi detain rru headquarters kireka kampala suburb
54,54,"Onesmus Muwanga, Kampala.
",1,0,0,0,0,1,onesmus muwanga kampala
55,55,"Before, the meeting with Thomas, President Museveni had in July met with Blinken’s Russian counterpart, Foreign Minister Sergei Lavrov who visited him in Kampala.
",1,0,0,0,0,1,meeting thomas president museveni july meet blinken russian counterpart foreign minister sergei lavrov visit kampala
56,56,"Michael Aboneka, Kampala.
",1,0,0,0,0,1,michael aboneka kampala
57,57,"He attracted a negative reputation for his strict enforcement of the urban beautification campaign in Kampala city then.
",1,0,0,0,0,1,attract negative reputation strict enforcement urban beautification campaign kampala city
58,58,"Indeed, the mantra goes that if you fail in Kampala, you have yourself to blame.
",1,0,0,0,0,1,indeed mantra go fail kampala blame
59,59,"Judiciary also failed to account for Shs 84 million paid to officers of the registry High court in Kampala.
",1,0,0,0,0,1,judiciary fail account shs million pay officer registry high court kampala
60,60,"These commissioners sit at the headquarters in Kampala and are fed with figures from polling stations which they use to process the results.
",1,0,0,0,0,1,commissioner sit headquarters kampala feed figure polling station use process result
61,61,"She, however, lost to an independent in the last elections, something she attributes to corrupt leaders who ganged up against her as she fought to protect a large piece of land in Kampala that President Museveni had given to PWDs.
",1,0,0,0,0,1,however lose independent last election something attribute corrupt leader gang fight protect large piece land kampala president museveni give pwd
62,62,"“Ongwen,” says Oola, “should be looked at like any other child in Kampala or Gulu— had that child been abducted.
",1,0,0,0,0,1,ongwen say oola look like child kampala gulu child abduct
63,63,"The number of school-age children engaged in petty trade in local markets and streets of Kampala appear to be on a rise.
",1,0,0,0,0,1,number school age child engage petty trade local market street kampala appear rise
64,64,"Go downtown Kampala and you will find the entrepreneurs with huge turnover of businesses are equally people with the least education.
",1,0,0,0,0,1,go downtown kampala find entrepreneur huge turnover business equally people least education
65,65,"Our urban areas, especially Kampala, are growing rapidly.
",1,0,0,0,0,1,urban area especially kampala grow rapidly
66,66,"Dr Byarugaba Baterana, the executive director of the Mulago National Referral Hospital in Kampala told reporters that a further nine people who had been admitted at the hospital ward had died of their injuries.
",1,0,0,0,0,1,dr byarugaba baterana executive director mulago national referral hospital kampala tell reporter nine people admit hospital ward die injury
67,67,"We all know what is happening in Kampala; Kampala is now very difficult to plan for because it was not planned for previously.
",1,0,0,0,0,1,know happen kampala kampala difficult plan plan previously
68,68,"This is confirmed by the Secretary to the Treasury, Keith Muhakanizi’s remarks to the diplomats and economists at the International Monetary Fund meeting held in Kampala in October last year.
",1,0,0,0,0,1,confirm secretary treasury keith muhakanizi remark diplomat economist international monetary fund meeting hold kampala october last year
69,69,"The Anti-Corruption Court in Kampala today remanded her to Luzira until May 3.
",1,0,0,0,0,1,anti corruption court kampala today remand luzira may
70,70,"He told a press conference in Kampala that Hepatitis B vaccination is free of charge in all government facilities adding that it’s wasteful to give people more than one dose of the vaccine.
",1,0,0,0,0,1,tell press conference kampala hepatitis b vaccination free charge government facility add wasteful give people one dose vaccine
71,71,"Cars are getting fewer on Kampala roads, which will have an impact in the overall tax collections.
",1,0,0,0,0,1,car get few kampala road impact overall tax collection
72,72,"You find Tanzanian singers cannot go to Nairobi or Kampala, they are closed.
",1,0,0,0,0,1,find tanzanian singer go nairobi kampala close
73,73,"Speaking to journalists at the energy ministry’s headquarters in Kampala on Feb. 24, Eng.
",1,0,0,0,0,1,speak journalist energy ministry headquarters kampala feb eng
74,74,"This retreat is a unique activity to get all ambassadors in one spot because they regularly meet in Kampala but only deliberate as a group once every year outside the capital,” Gyezaho said.
",1,0,0,0,0,1,retreat unique activity get ambassador one spot regularly meet kampala deliberate group every year outside capital gyezaho say
75,75,"We have already supported the youth of Kampala, Rukungiri etc.
",1,0,0,0,0,1,already support youth kampala rukungiri
76,76,"with metal cutting and bending common-user machine tools, the common-user machines for carpentry etc.
",1,0,0,0,0,1,metal cutting bend common user machine tool common user machine carpentry
77,77,"On Sunday, a few hours before Dr Hajj Bulaimu Muwanga Kibirige, popularly known as BMK after his eponymous group, was buried at the ‘public’ Muslim cemetery he created in Nkoowe near Wakiso town, I was at Hotel Africana in Kampala.
",1,0,0,0,0,1,sunday hour dr hajj bulaimu muwanga kibirige popularly know bmk eponymous group bury public muslim cemetery create nkoowe near wakiso town hotel africana kampala
78,78,"“People in Kampala listen to people who peddle false hoods, some of who say Coronavirus does not exist.
",1,0,0,0,0,1,people kampala listen people peddle false hood say coronavirus exist
79,79,"Nankabirwa revealed this during a press conference at the Uganda Media Centre in Kampala, where she addressed the pressing matters related to the forthcoming Energy and Minerals Week 2023, scheduled for November 13-18.
",1,0,0,0,0,1,nankabirwa reveal press conference uganda medium centre kampala address press matter relate forthcoming energy mineral week schedule november
80,80,"Hence, Museveni and other non-Baganda in Kampala, plus the Baganda of course, we are supporting the prosperity of many Baganda businessmen.
",1,0,0,0,0,1,hence museveni non baganda kampala plus baganda course support prosperity many baganda businessman
81,81,"This was during the multi-stakeholder platform workshop in Kampala.
",1,0,0,0,0,1,multi stakeholder platform workshop kampala
82,82,"He stormed Katwe, a Kampala suburb known for its manufacture of all sorts of electric appliances, especially those locally made, to get the first machines he used on the onset on top of his kitchen microwave to sterilize his tissues.
",1,0,0,0,0,1,storm katwe kampala suburb know manufacture sort electric appliance especially locally make get first machine use onset top kitchen microwave sterilize tissue
83,83,"The minister of Finance Matia Kasaija has presented a $12m (Shs 140bn) request to parliament’s committee on the national economy to operationalise the Eco-bus project in Kampala central district.
",1,0,0,0,0,1,minister finance matia kasaija present shs bn request parliament committee national economy operationalise eco bus project kampala central district
84,84,"The opening day of Ugandan artist Donald Augustine Wasswa aka Waswad at Afriart in Kampala has gone down in local art lore because of one of the works on display titled controversially as `My Screw ups 1, 2& 3’.
",1,0,0,0,0,1,open day ugandan artist donald augustine wasswa aka waswad afriart kampala go local art lore one work display title controversially screw up
85,85,"The official launch of the Tororo Girls’ School Alumni Association was held on September 23, 2022 at Golf Course Hotel, in Kampala with First Deputy Prime Minister, Minister of East African Community Affairs and Woman Member of Parliament for Kamuli District Kadaga, as chief guest.
",1,0,0,0,0,1,official launch tororo girl school alumnus association hold september golf course hotel kampala first deputy prime minister minister east african community affair woman member parliament kamuli district kadaga chief guest
86,86,"People in paid (wage) employment increased between 2002 and 2014, but much more in the Kampala, western, and central regions than in the eastern and northern regions.
",1,0,0,0,0,1,people pay wage employment increase much kampala western central region eastern northern region
87,87,"Whereas I was in Kampala when she was arrested, I met her brother and also made a few calls to ensure that justice was served, the good thing with those countries is that systems work and when you are innocent, like she was, you gain your freedom.
",1,0,0,0,0,1,whereas kampala arrest meet brother make call ensure justice serve good thing country system work innocent like gain freedom
88,88,"Annet Nabweteme, a resident of Kamombogga in Kampala thinks that Kalembe should identify women especially single mothers who took care of families during the lockdown.
",1,0,0,0,0,1,annet nabweteme resident kamombogga kampala think kalembe identify woman especially single mother take care family lockdown
89,89,"However addressing journalists at the Uganda Media Center in Kampala minister Lokeris said government had already responded to the request, giving assurance that work has not stopped.
",1,0,0,0,0,1,however address journalist uganda medium center kampala minister lokeris say government already respond request give assurance work stop
90,90,"Bashir Twesigye, the executive director of Civic Response on Environment and Development (CRED), a Kampala-based civil society organisation, says the government’s disaster risk response remains inadequate.
",1,0,0,0,0,1,bashir twesigye executive director civic response environment development cre kampala base civil society organisation say government disaster risk response remain inadequate
91,91,"An average person in Kampala spends 3.5 hours (one and a half hours in the morning and another two hours in the evening) in traffic jams every working day.
",1,0,0,0,0,1,average person kampala spend hour one half hour morning another two hour evening traffic jam every work day
92,92,"We are sorting to select one or two for Kampala.
",1,0,0,0,0,1,sort select one two kampala
93,93,"Anna said that money would only buy land in Kampala.
",1,0,0,0,0,1,anna say money would buy land kampala
94,94,"And so, Mr President today sanctions deployment of commandos in Kampala.
",1,0,0,0,0,1,mr president today sanction deployment commando kampala
95,95,"The study findings were shared at the launch of the tenth edition of the Agricultural Financial Yearbook that was held recently at Imperial Royale hotel in Kampala.
",1,0,0,0,0,1,study finding share launch tenth edition agricultural financial yearbook hold recently imperial royale hotel kampala
96,96,"Distribution of nets in Kampala and Wakiso is expected to start next month.
",1,0,0,0,0,1,distribution net kampala wakiso expect start next month
97,97,"President Yoweri Museveni has donated Shs 300 million towards the construction of the Uganda Orthodox Cathedral at Lubya Hill, in Rubaga Division in Kampala.
",1,0,0,0,0,1,president yoweri museveni donate shs million towards construction uganda orthodox cathedral lubya hill rubaga division kampala
98,98,"With the help of former State Minister for Agriculture Hope Mwesigye, Mbabazi reportedly met the delegates at Emerald Hotel, a small establishment in Kampala, coached them, and paid them amounts between Shs 500,000 – 1,000,000 each.
",1,0,0,0,0,1,help former state minister agriculture hope mwesigye mbabazi reportedly meet delegate emerald hotel small establishment kampala coach pay amount shs 
99,99,"Sources say from this point, President Museveni embarked on a silent mission to reduce the Beijing/Mbabazi influence in Kampala.
",1,0,0,0,0,1,source say point president museveni embark silent mission reduce beijing mbabazi influence kampala
100,100,"On April 19, the hostility erupted once again as hundreds of traders in the capital city, Kampala, staged a closed-shop protest and marched along some streets brandishing placards telling the Chinese to “Leave our country.
",1,0,0,0,0,1,april hostility erupt hundred trader capital city kampala stage closed shop protest march along street brandish placard tell chinese leave country
101,101,"But we are looking at areas like Karamoja.
",0,1,0,0,0,1,look area like karamoja
102,102,"The lowest asthma rates are recorded in Karamoja and the Lango region.
",0,1,0,0,0,1,low asthma rate record karamoja lango region
103,103,"Akiriket is a traditional shrine where elders in Karamoja meet and invoke their gods over issues affecting the land.
",0,1,0,0,0,1,akiriket traditional shrine elder karamoja meet invoke god issue affect land
104,104,"The task force will interview witnesses and record statements from a number of government officials including Minister for Karamoja to establish their involvement in the iron sheets saga.
",0,1,0,0,0,1,task force interview witness record statement number government official include minister karamoja establish involvement iron sheet saga
105,105,"Arenger says even if she is a woman and some of the projects available could benefit her, she is worried that if the soaring number of unemployed youths in Karamoja is not catered for soon, the region may slide back into lawlessness.
",0,1,0,0,0,1,arenger say even woman project available could benefit worried soar number unemployed youth karamoja cater soon region may slide back lawlessness
106,106,"Alupo further noted that when completed, the University, the first ever in Karamoja will develop appropriate technology to harness natural resources for wealth creation and integral human development.
",0,1,0,0,0,1,alupo note complete university first ever karamoja develop appropriate technology harness natural resource wealth creation integral human development
107,107,"Some of the placards condemned the Uganda People’s Defense Force-UPDF manning security in Karamoja while others attacked the ruling government for failing to live up to its promise of securing Ugandans.
",0,1,0,0,0,1,placard condemn uganda people defense force updf manning security karamoja other attack rule government fail live promise secure ugandan
108,108,"Kato’s story explored how science, particularly biotechnology, can help alleviate the suffering of Karamoja’s pastoral communities.
",0,1,0,0,0,1,kato story explore science particularly biotechnology help alleviate suffering karamoja pastoral community
109,109,"Ssempijja pointed out that among the key current UPDF tasks that remain unfunded include; the ongoing operation Shujja against Allied Democratic Forces – ADF, an Islamic rebel group in the DRC which requires 21.5 billion Shillings and the disarmament exercise in Karamoja region dubbed salama kwa wote that needs 27.5 billion Shillings.
",0,1,0,0,0,1,ssempijja point among key current updf task remain unfunded include ongoing operation shujja allied democratic force adf islamic rebel group drc require billion shilling disarmament exercise karamoja region dub salama kwa wote need billion shilling
110,110,"Prof Orach says in Karamoja, sex is for procreation purposes and almost every pregnancy is intended, hence the lower numbers.
",0,1,0,0,0,1,prof orach say karamoja sex procreation purpose almost every pregnancy intend hence low number
111,111,"Enanga warned witnesses in the ongoing investigation into the Karamoja iron sheets scandal to heed to their summons, noting that the invitation is meant to either prove the allegations against them or disprove them.
",0,1,0,0,0,1,enanga warn witness ongoing investigation karamoja iron sheet scandal heed summon note invitation mean either prove allegation disprove
112,112,"John Lodungokol, the Assistant Commissioner crop production in the Ministry of Agriculture told URN on Sunday that the environmental degradation in Karamoja was the main cause of flooding that always hits the region.
",0,1,0,0,0,1,john lodungokol assistant commissioner crop production ministry agriculture tell urn sunday environmental degradation karamoja main cause flooding always hit region
113,113,"It was hoped that the interventions would persuade the people of Karamoja to embrace disarmament and abandon cattle rustling.
",0,1,0,0,0,1,hope intervention would persuade people karamoja embrace disarmament abandon cattle rustle
114,114,"However, it seems we have always looked at Karamoja as a place that deserves pity hence the massive plan to donate cheap iron sheets that we hear didn’t even reach those who needed them.
",0,1,0,0,0,1,however seem always look karamoja place deserve pity hence massive plan donate cheap iron sheet hear even reach need
115,115,"“Despite having former powerhouses such as Kololo SS, Old Kampala SS and Lubiri SS, it’s a pleasure to have Abim from Karamoja region.
",0,1,0,0,0,1,despite former powerhouse kololo ss old kampala ss lubiri ss pleasure abim karamoja region
116,116,"Col. Peter Akakunda, the 403 Brigade Commander advised the youth to stop cattle raids so that peace and development can fully be realized in Karamoja.
",0,1,0,0,0,1,col peter akakunda brigade commander advise youth stop cattle raid peace development fully realize karamoja
117,117,"Court has temporarily halted the hearing of a case in which minister for Karamoja Karamoja Affairs Mary Gorreti Kitutu is accused of causing loss of public property after her alleged involvement in the diversion of iron sheets meant for the vulnerable people in Karamoja sub-region.
",0,1,0,0,0,1,court temporarily halt hearing case minister karamoja karamoja affairs mary gorreti kitutu accuse cause loss public property allege involvement diversion iron sheet mean vulnerable people karamoja sub region
118,118,"In April, this year, President Museveni also launched a disarmament exercise in Karamoja and deployed the military to carry it out following a spate of murders and theft of thousands of livestock, mainly cattle.
",0,1,0,0,0,1,april year president museveni launch disarmament exercise karamoja deploy military carry follow spate murder theft thousand livestock mainly cattle
119,119,"When I first went to Karamoja in 2003, it was a different place and we worked very hard together with others [Denmark and the EU] alongside the Uganda Human Rights Commission, the government, civil society actors, traditional leaders and even the young warriors to come to a situation where the gun could be left behind.
",0,1,0,0,0,1,first go karamoja different place work hard together other denmark eu alongside uganda human rights commission government civil society actor traditional leader even young warrior come situation gun could leave behind
120,120,"Peter Mugema, the Iganga Municipality MP said famine is affecting people in his constituency too, citing that people are dying of starvation and that the government should upscale its interventions beyond Karamoja.
",0,1,0,0,0,1,peter mugema iganga municipality mp say famine affect people constituency cite people die starvation government upscale intervention beyond karamoja
121,121,"Adjumani East MP, James Mamawi, also urged government to invest in production as a long term plan to mitigate famine and hunger in Karamoja and reduce the dependence syndrome on relief food.
",0,1,0,0,0,1,adjumani east mp james mamawi urge government invest production long term plan mitigate famine hunger karamoja reduce dependence syndrome relief food
122,122,"Sseremba told the court that all those activities had to be fulfilled through the procurement of goats and iron sheets to be distributed at no cost to the targeted beneficiaries or the people of Karamoja.
",0,1,0,0,0,1,sseremba tell court activity fulfil procurement goat iron sheet distribute cost target beneficiary people karamoja
123,123,"The prices of cattle, goats, sheep’s and chicken in Karamoja markets have tripled a head of Christmas festival.
",0,1,0,0,0,1,price cattle goat sheep chicken karamoja market triple head christmas festival
124,124,"The vast majority of FGM takes place in the regions of Karamoja and Sebei, where overall prevalence is reported to be 26.7%.
",0,1,0,0,0,1,vast majority fgm take place region karamoja sebei overall prevalence report
125,125,"Health programmes, especially, immunization and peace, have helped the population of Karamoja to recover and grow from 190,000 in 1980 when I went there as Minister of Defence to now about 1.2 million people.
",0,1,0,0,0,1,health programme especially immunization peace help population karamoja recover grow go minister defence million people
126,126,"In December 2021, the Parliament passed a supplementary budget worth 39 billion shillings to support various programs in Karamoja.
",0,1,0,0,0,1,december parliament pass supplementary budget worth billion shilling support various program karamoja
127,127,"The report shows that food insecurity in Karamoja can be attributed to multiple factors, including insecurity, unpredictable weather patterns leading to inadequate food production, and poor health, hygiene, and sanitation practices.
",0,1,0,0,0,1,report show food insecurity karamoja attribute multiple factor include insecurity unpredictable weather pattern lead inadequate food production poor health hygiene sanitation practice
