,stripped,readable
66,month may uganda unveil five oil block competitive licensing exploration development,"In the same month, on May 8, Uganda unveiled five oil blocks for competitive licensing for exploration and development."
67,mou community kenya ugandan side harness opportunity well cooperation close coordination peaceful coexistence,"Through the MoU both communities on the Kenya and Ugandan sides can now harness opportunities for better cooperation, close coordination and peaceful coexistence."
68,reiterate create job public service cater people uganda hence necessity start project create wealth help other get employment,He reiterated that creating jobs in Public Service cannot cater for all the people in Uganda and hence the necessity of starting projects that create wealth for them and help others to get employment.
69,say unfortunate foreign company use present environment grab land mineral karamoja unchecked,He said it was unfortunate that foreign companies were using the present environment to grab land and minerals from Karamoja unchecked.
70,dr ampaire speak media meeting hold morning ahead world sight day ministry health headquarters kampala,Dr Ampaire was speaking during a media meeting held this morning ahead of the World Sight Day at the Ministry of Health headquarters in Kampala.
71,follow death three people hospitalization people napaka amudat karamoja region consume super cereal fortify food supply world food program,This followed the death of three people and hospitalization of over 200 people from napaka and Amudat in karamoja region after consuming the super cereal fortified food that was supplied by the world food program.
72,recently commander chief crown send thief thief protector catch another order police clamp illegal gold dealer kampala know story end,"Recently, our commander in chief crowned it all off by sending a thief and thief protector to catch another by ordering the same police to clamp down on all illegal gold dealers in Kampala, but we all know how this story will end."
73,speak report launch nov kampala muhumuza akumu say finding accord report difficulty value land compensation weakness regard dispute resolution mechanism effect gender cultural norm,"Speaking at the report launch on Nov.29 in Kampala, Muhumuza and Akumu said other findings according to the report had to do with difficulty of valuing land for compensation, weaknesses regarding dispute resolution mechanisms and the effects of gender and cultural norms."
74,amidst development uganda map vulnerable country climate change limited capacity cope,"Amidst these developments, Uganda has been mapped as the most vulnerable country to climate change with limited capacity to cope."
75,graduate political science makerere university kasamba chair parliamentary committee agriculture three term serve kakuuto mp,"A graduate of Political Science from Makerere University, Kasamba chaired the Parliamentary Committee on Agriculture for most of the three terms he served as Kakuuto MP from 2001 to 2016."
76,okoyo office wamala region police spokesman norbert ochom tell ntv monday far arrest four people include kaweesi manager security guard,Okoyo was not in office but the Wamala region police spokesman Norbert Ochom told NTV on Monday that they have so far arrested four people including Kaweesi s manager and a security guard.
77,close common market gap wafico kcca mobilize set live fish sale outlet wandegeya market wadunde explain,"So, to close the common market gap, WAFICOS and KCCA have mobilized and set up a live fish sale outlet at Wandegeya market, Wadunde explained."
78,museveni invite bahati opondo bagiire back,"Museveni invited Bahati, Opondo and Bagiire to back him up."
79,relatively young crop modern artist continue join uganda frustratingly slow grow fine art scene,They are some of the relatively young crop of modern artists who continue to join Uganda s frustratingly slow-growing fine art scene.
80,uganda strategy muloni say seek optimize investment benefit petroleum sector order develop durable sustainable infrastructure technology facilitate investment renewable source energy,"Uganda s strategy, Muloni said, seeks to optimize the investment benefits from the petroleum sector in order to develop durable sustainable infrastructure and technology that will facilitate investments in renewable sources of energy."
81,workshop bugembe serve whole eastern region well karamoja,The workshop in Bugembe serves the whole of eastern region as well as Karamoja.
82, people employ sector uganda number could rise ,"About 208,000 people are employed in the sector in Uganda and the number could rise to 522,000 by 2030."
83,bunyoro region like whole uganda last million year since human evolve ape become homo sapien sapien wise man,"The Bunyoro Region, like the whole of Uganda, has been here for the last 4 million years since the human being evolved from apes and became homo- sapien- sapien (the wise man)."
84,february uganda third large refugee host country world total refugee,"As of February 2019, Uganda is the third largest refugee-hosting country in the world with a total of 1,223,003 refugees."
85,kutesa respond concern raise kawempe north member parliament latif ssebaggala meeting parliament foreign affair committee financial year budget framework paper,Kutesa was responding to a concern raised by Kawempe North Member of Parliament Latif Ssebaggala during a meeting with Parliament s Foreign Affairs Committee on the financial year 20192020 budget framework paper.
86,first time guangzhou dongsong energy group embroil controversy uganda,This is not the first time Guangzhou Dongsong Energy Group is embroiled in a controversy in Uganda.
87,attilio pacifici european union ambassador uganda say grant part broad financial contribution towards global climate change alliance gcca project support develop country build community resilient climate change effect,"Attilio Pacifici, the European Union Ambassador to Uganda says that the grant is part of their broader financial contribution towards the Global Climate Change Alliance-GCCA Project, in which they support developing countries to build communities that are resilient to climate change effects."
88,kasande say besides international oil price two factor make invest exploration oil gas frontier basin like uganda legislation potential block,"Kasande said besides international oil prices, the two other factors that make investing in exploration in oil and gas frontier basins like Uganda are legislation and potential of the blocks."
89,mzee athiyo one hero karamoja, Mzee Athiyo is one of our heroes in Karamoja.
90,say unchecked moral decline devastating corrosive effect socio economic political life nation uganda include,"That is to say, unchecked moral decline has a devastating and corrosive effect on the socio-economic and political life of nations, Uganda included."
91,banana cassava bean millet sorghum rice wheat sweet potato maize make bulk daily diet rural family uganda provide optimal plant protein body,"Bananas, cassava, beans, millet, sorghum, rice, wheat, sweet potatoes and maize make up the bulk of the daily diet of most rural families in Uganda providing optimal plant proteins for the body."
92,decision reach we billion expect flow country refinery kabaale crude pipeline tanga tanzania development oil field,"When the decision has been reached, up to US$15billion is expected to flow into the country for the refinery in Kabaale, the crude pipeline to Tanga in Tanzania and development of up 15 oil fields."
93,however handful african country include kenya morocco showcase product mainly include agricultural,"However, a handful of African countries including Kenya and Morocco showcased their products that mainly included agricultural."
94,bildard moses adome jie county mp say gun common karamoja many cattle thief region,"Bildard Moses Adome, the Jie County MP says the guns are now common in Karamoja, and many cattle thieves in the region."
95,mr abdallahi boitaan let know actually museveni invade uganda tanzania,"Mr Abdallahi Boitaan, just to let you know that it was actually Museveni who invaded Uganda from Tanzania."
96,unfortunate farmer ally magezi muliro farmers association receive pilot demonstration mini irrigation scheme mabwombe village mende subcounty wakiso district,"The unfortunate farmers are allied to Magezi-Muliro Farmers Association, which received the pilot demonstration mini irrigation scheme in Mabwombe village in Mende subcounty in Wakiso district."
97,november new vision publish article title uganda host maiden biosafety conference,"On November 10, 2016, New Vision published an article titled Uganda to host maiden biosafety conference ."
98,however say generally sample test heavy metal pesticide level afflatoxin find could explain acute symptom toxicity see patient karamoja,She however says generally the samples tested did not have heavy metal and pesticides and that the levels of afflatoxins found could not explain the acute symptoms toxicity that was seen in patients in Karamoja.
99, china total spending uganda billion,"From 2011 to 2016, China s total spending in Uganda on the same was over $1 billion."
100,violation unacceptable democratic uganda must probe,Such violation is unacceptable in a democratic Uganda and must be probed.
101,embassy say united states work uganda strengthen democratic institution ensure freedom expression promote open political environment,"The Embassy says that the United States will work with Uganda to strengthen democratic institutions, ensure freedom of expression, and promote an open political environment."
102,uganda high per cent population need mental health treatment never access service per cent total health budget allocate mental health,"In Uganda, as high as 90 per cent of the population in need of mental health treatment never access such services while only 0.7 per cent of the total health budget is allocated to mental health."
103,amuru farmer amuru amuru ii cluster lose ton tobacco fire rent store,In Amuru over 208 farmers under Amuru I and Amuru II clusters lost over 40 tons of tobacco to fire in a rented store.
104,african hotel kampala marketing team tell affect need prayer,"At African hotel in Kampala, the marketing team there told they had been affected and we need prayers."
105,datum expert several country include tanzania india nigeria japan uae use information collect hourly sensor mount around kampala accurately forecast air quality future hour period use zindi data science competition platform,"Over 400 data experts from several countries including Tanzania, India, Nigeria, Japan, and the UAE will use information collected hourly from over 60 sensors mounted around Kampala to accurately forecast air quality for a future 25-hour period using the Zindi data science competition platform."
106,frida amuron amudat community base development officer say lot unreported case across district notably rural area information right girl child still scanty,"Frida Amuron, the Amudat community based development officer said that there were a lot of unreported cases across the district notably in rural areas where information about the rights of a girl child was still scanty."
107,morning uganda register case recover remain active,"By this morning Uganda had registered 81 cases, 52 of which have recovered and 29 remain active."
108,bet quarter participant right minister score beyond authentically administer examination never say anything concern education uganda anymore,"I bet, if a quarter of the participants, right from the ministers score beyond 30% in an authentically administered examination, I will NEVER say anything concerning education in Uganda, anymore."
109,muganzi say programme currently run kotido expect roll entire region,Muganzi said the programme is currently running in Kotido but expected to roll out to the entire region.
110,kingfisher tilenga alongside east african crude oil pipeline eacop flagship project upon uganda hinge hope attract we bn next couple year,"Kingfisher, Tilenga alongside the East African Crude Oil Pipeline (EACOP) are the flagship projects upon which Uganda is hinging hope of attracting about US$ 20bn over the next couple of years."
111,pig pay tuition open vet clinic entebbe, The pigs paid for my tuition and I also opened up a vet clinic in Entebbe.
112,say want acknowledge front uganda face challenge may endanger trajectory toward prosperity return challenge moment get past challenge possibility limitless,"That said, I also want to acknowledge up front that Uganda is facing challenges that may endanger its trajectory toward prosperity and I will return to those challenges in a moment but if it can get past those challenges, the possibilities are limitless."
113,james okumu bedijo gulu deputy chief administrative officer say need time understand district substantive vet officer,"James Okumu Bedijo, the Gulu Deputy Chief Administrative Officer says he needed more time to understand why the district doesn t have a substantive vet officer."
114,uganda big intellectual property even ioc leave still go ahead," Uganda now has a big intellectual property; even if the IOCs left, we can still go ahead."
115,kilama say thug estimate five enter area murukanyebu nyecwai latiripeyo border porous boundary kotido district,"Kilama says the thugs estimated to have been more than five entered through areas of Murukanyebu, Nyecwai and Latiripeyo all bordering the porous boundaries with Kotido district."
116,second time armed suspect cattle thief raid mora village paimol sub county one month,This is the second time armed suspected cattle thieves have raided Mora village in Paimol sub county in only one month.
117,thank people karamoja say,"So I thank you, the people of Karamoja, he said."
118,kyagulanyi make pledge speak thousand supporter today campaign trail bududa playground bududa district,Kyagulanyi made this pledge while speaking to thousands of his supporters today during his campaign trail at Bududa playground in Bududa district.
119,yoweri museveni non baganda live kampala buy lot thing baganda shop kampala,Yoweri Museveni and all the non-Baganda that live in Kampala are also buying a lot of things from the Baganda shops in Kampala.
120,finding imply locally make double layered cloth face mask avail use could improve uptake face mask public uganda similar low middle income country africa key intervention prevent transmission covid study partly read," The findings imply that locally made, double-layered cloth face-masks when availed and used could improve the uptake of face-masks by the public in Uganda and similar low-and middle- income countries in Africa, as a key intervention in preventing the transmission of Covid-19, the study partly reads."
121,hand site kisinga construction company limit thursday helen pulkol deputy resident district commissioner moroto say construction unit big relief fight cataract region,"While handing over the site to Kisinga Construction Company Limited on Thursday, Helen Pulkol, the Deputy Resident District Commissioner in Moroto said the construction of the unit is a big relief in the fight against cataract in the region."
122,construction work fund project restoration livelihood northern region prelnor initiative,The construction work is being funded under Project for the Restoration of Livelihoods in the Northern Region PRELNOR initiative.
123,moroto district production secretary emmanuel lokii confirm destruction crop abule naputh lolung parish rupa sub county,"The Moroto district production secretary, Emmanuel Lokii also confirms the destruction of crops in Abule, Naputh and Lolung parishes in Rupa sub county."
124,nawangwe blame late distribution gown late supply contractor say demand advance payment do time,"Nawangwe blames the late distribution of the gowns to the late supply by the contractor who he says demanded for advance payment, which wasn t done in time."
125,point kavuya already fly family member florida usa addis ababa en route entebbe decide go covert approach,"It is at this point that Kavuya, who had already flown his family members from Florida, USA, to Addis Ababa en route to Entebbe, decided to go for a covert approach."
126,prof william bazeyo head makerere university research innovation fund charge finance study say initial result study release next three month uganda pool local evidence inform intervention pandemic,Prof. William Bazeyo who heads the Makerere University Research and Innovations fund that is in charge of financing the studies says that initial results of the studies will be released in the next three months and Uganda will have a pool of local evidence to inform interventions into the pandemic.
127,electrification industrial park progress commissioning mukono iganga industrial park sub station,The electrification of industrial parks has also progressed with the commissioning of the Mukono and Iganga Industrial Parks sub-stations.
128,uganda develop much become island stability,That is how Uganda has developed so much and has become an island of stability.
129,good news trend take uganda,The good news is this trend is taking off is Uganda too.
130,say already talk district local government possibility open access road link remote odom village adilang sub county orom sub county neighboring kitgum,He says they are already in talks with the district local government on possibilities of opening up the access roads linking remote Odom village in Adilang sub county to Orom sub county in neighboring Kitgum.
131,serve uganda military attach addis ababa ethiopia recall retire army,"After serving as Uganda s military attach in Addis Ababa, Ethiopia, he was recalled and retired from the army in 2014."
132,remember call say amos go china world custom meeting presentation want meet happen uganda next time first african continent,"I remember him once calling me and saying Amos, I will be going to China for a World Customs meeting to do a presentation and I want that meeting to happen in Uganda next time, and it will be first on the African continent."
133,related development kyadondo east mp robert kyagulanyi aka bobi wine donate shs help kasese flood victim,"In a related development, Kyadondo East MP Robert Kyagulanyi aka Bobi Wine donated Shs 13.5m to help the Kasese floods victims."
134,top assent bill last friday museveni meeting representative tanzania lead manage director kagera sugar limit seif ally seif agree export uganda surplus sugar,"On top of assenting to the bill last Friday, Museveni also had a meeting with representatives from Tanzania led by the managing director of Kagera Sugar Limited, Seif Ally Seif in which they agreed to export Uganda s surplus sugar."
135,nyanzi add mural attract attention touch heart explore human emotion love longing celebration concern make difficult anyone pass without notice thus fulfil purpose,"Nyanzi adds that the murals themselves attract attention as they touch the heart to explore human emotions of love, longing and celebration and concern which make it difficult for anyone to pass by without noticing it thus fulfilling its purpose."
136,mukono politician member party structure go nup,"In Mukono here, all politicians and members of the party structures went to NUP."
137,president yoweri museveni uganda announce four new coronavirus case,President Yoweri Museveni Uganda has announced four new coronavirus cases.
138,outbreak coronavirus disease pose challenge many business uganda expert predict world experience recession,"The outbreak of the coronavirus disease is posing a challenge to many businesses in Uganda, with experts predicting that the world will experience a recession."
139,proud role play founding development uganda oil industry say wish ugandan joint venture partner well take important project forward," We are very proud of the role we have played in the founding and development of Uganda s oil industry, she said, We wish all Ugandans and our joint venture partners well as they take this important project forward."
140,send congratulatory message clark emphasize importance transparency ensure money uganda oil gas production mismanage steal lose corruption,"Sending her congratulatory message, Clark emphasized the importance of transparency in ensuring that money from Uganda s oil and gas production is not mismanaged, stolen, or lost to corruption."
141,endanger specie find uganda,These are some of the endangered species found in Uganda.
142,evelyn anite state minister investment tell xinhua interview development device good news uganda africa especially time covid pandemic increase,"Evelyn Anite, state minister for investment, told Xinhua in an interview that the development of the device is good news for Uganda and Africa; especially at a time when the COVID-19 pandemic is increasing."
143, cash contribution contribute support wfp assistance karamoja,"The $300,000 cash contribution will also contribute to supporting WFP assistance in Karamoja."
144,food agriculture organisation say although uganda south sudan currently affect high risk equally favourable condition rapid reproduction locust,"Food and Agriculture Organisation said that although Uganda and South Sudan are not currently affected, they are at high risk because they equally have favourable conditions for the rapid reproduction of the locusts."
145,base engel ask treasury department state department utilise authority global magnitsky human right accountability act global magnitsky act designate individual may responsible violence uganda recent year,"Based on this, Engel asks the Treasury Department and the State Department to utilise the authority of the Global Magnitsky Human Rights Accountability Act (Global Magnitsky Act) to designate individuals who may be responsible for violence in Uganda in recent years."
146,enviroserv merger south africa enviroserv uganda green albertine limit set manage uganda industrial waste mainly oil activity,"EnviroServ, a merger of South Africa s EnviroServ and Uganda s Green Albertine Limited was set up to manage Uganda s industrial waste and mainly from oil activities."
147,would actually mean take buganda luganda away present baganda,[This would actually mean taking Buganda and Luganda away from present Baganda].
148,government saturday ministry health ask traveller country high case coronavirus travel uganda unless essential reason,"Government, on Saturday through the ministry of Health asked travellers from countries with high cases of coronavirus not to travel to Uganda unless for essential reasons."
149,khan say key test kenya year ahead strength fiscal consolidation,Khan said that the key test for Kenya in the years ahead will be the strength of its fiscal consolidation.
150, government evict hundred artisanal gold miner kassanda ground activity security threat evade taxis would contribute development country,"In 2017, the government evicted hundreds of artisanal gold miners from Kassanda on grounds that their activities were not only a security threat but they also evading taxes that would contribute to the development of the country."
151,antonio querido fao country representative say uganda rich arable land food basket,Antonio Querido the FAO country representative says that Uganda is rich in arable land and it can be the food basket again.
152,bird burn passion since childhood day masaka nurse hatchling feed improvise grassy shelter,"But birds have been his burning passion since his childhood days in Masaka when he nursed hatchlings, fed them and improvised grassy shelters for them."
153,imagine uganda add extra value wash roast coffee export,Imagine if Uganda was to add extra value by washing and roasting its coffee before export.
154,elder advise major gen loketch handle new post jealously show hard work represent people karamoja well,The elder advised Major Gen Loketch to handle his new post jealously and show hard work to represents the people of Karamoja well.
155,however mwebe james kizza student king college buddo hold contrary opinion,"However, Mwebe James Kizza, an S.3 student of King s College, Buddo, holds a contrary opinion."
156,uganda economic outlook positive,Uganda s economic outlook is positive.
157,therefore month uganda depend product food industrial product,"Therefore, for 5 months now, Uganda has been depending on our products: food, industrial, (products etc) etc."
