	belief	title	author	year
34	In Kenya, interest is developing in improving local S. senegal resources to benefit the large silvopastoral dryland community (Omondi et al., 2010).	Senegalia senegal (synonym: Acacia senegal), its importance to sub-Saharan Africa, and its relationship with a wide range of symbiotic soil microorganisms	N. Bakhoum, F. Diouf, D. Balachandar, D. Diouf	2018
35	Kenya is also developing a new market for gum arabic variety kerensis, which is widely distributed and also prized for its quality.	Senegalia senegal (synonym: Acacia senegal), its importance to sub-Saharan Africa, and its relationship with a wide range of symbiotic soil microorganisms	N. Bakhoum, F. Diouf, D. Balachandar, D. Diouf	2018
36	S. senegalwaspreviously believed to be nodulated by Rhizobium strains exclusively (Dreyfus and Dommergues, 1981).	Senegalia senegal (synonym: Acacia senegal), its importance to sub-Saharan Africa, and its relationship with a wide range of symbiotic soil microorganisms	N. Bakhoum, F. Diouf, D. Balachandar, D. Diouf	2018
37	The participation of women in the economic market is presumed to compete with their family obligations, since mothers are often the only ones responsible for household duties.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
38	In Dakar women's work outside the domestic sphere clashes with the tenacious model of a clear separation between husbands' and wives' roles and with the ideal of wives being financially dependent on their husbands (Adjamagbo et al.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
39	In Dakar the majority of the population are Muslims, whereas in Lome the majority are Christians and Animists.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
40	In Senegal about nine out of ten (94%) individuals are Muslims (Ndiaye, Gaye, and Ayad 1997); in Togo about half (51%) and a quarter (28%) are Christians and Animists respectively (Anipah et al.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
41	In Lome mothers are expected to help their husbands in providing for their children's needs.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
42	Therese Locoh (1984) said that in the south-east of Togo it is normal, even essential, that wives do not depend on their husbands.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
43	Traditional women favour the mother-and-wife role, resulting in large family sizes, while modern women favour the professional life and are therefore more likely to have lower fertility levels.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
44	In Lome, where they have been involved in the labour market for a long time (since before men lost their economic or purchasing power), women seem to consider work as a legitimate alternative to their role as a mother or spouse.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
45	These social relations are expected to influence households' decisions about the division of the labour within families, childcare standards, and fertility levels.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
46	In fact some groups exhibited positive relationships between work and fertility in situations where working and caring for children were expected to be strongly incompatible.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
47	The total sample consisted of 1,312 women in Lome and 473 in Dakar.4 Only women who had at least one child - 1,060 in Lome and 397 in Dakar - were considered.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
48	For the oldest cohort, aged 45-59, women are considered to be at risk of pregnancy until 45 years of age.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
49	Second, women occupied in salaried activities are expected to have lower chances of giving birth than those who are self-employed.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
50	Lastly, education is expected to have an important effect (direct or indirect) on fertility (Joshi 2002).	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
51	Higher educational levels are expected to lower the chances of giving birth in both cities.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
52	The major ethnic groups in Senegal are the Wolof, Lebou, Alpular, Manding, Serer, and Diola .	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
53	Some employers may prefer recruiting men because they believe that women are less productive as they are likely to take time off for motherhood and other maternal obligations.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
54	In Lome, where they have been involved in the labour market for a long time (since before men lost their economic or purchasing power), women seem to consider work as a legitimate alternative to their role as a mother or spouse.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
55	The Council for the Development of Social Science Research in Africa (CODESRIA) and the African Development Bank (ADB), which provided funding for the research projects in Dakar and Lome, are gratefully acknowledged.	The impact of female employment on fertility in Dakar (Senegal) and Lomé (Togo)	Donatien Beguy	2009
56	There was a desire between them to cooperate in the management of the basin so that all countries would benefit from its development.	The Senegal River, the second-largest river in Western Africa, originates in the Fouta Djallon Mountains of Guinea where its three main tributaries, the Bafing, Bakoye, and Faleme contribute 80% of the river’s flow. After originating in Guinea, the Senegal River then travels 1,800 km crossing Mali, Mauritania and Senegal on its way to the Atlantic Ocean. Following the independence of the basin countries, tension remained in the region due to the instability of the political powers and the influence of neo-colonial states such as the United States and the Soviet Union. Throughout the turmoil following World War II into the 1970s, the Senegal River	Joshua T. Newton	2007
57	These four countries believe that collaboration on the development of this resource would improve the standard of living of all involved.	The Senegal River, the second-largest river in Western Africa, originates in the Fouta Djallon Mountains of Guinea where its three main tributaries, the Bafing, Bakoye, and Faleme contribute 80% of the river’s flow. After originating in Guinea, the Senegal River then travels 1,800 km crossing Mali, Mauritania and Senegal on its way to the Atlantic Ocean. Following the independence of the basin countries, tension remained in the region due to the instability of the political powers and the influence of neo-colonial states such as the United States and the Soviet Union. Throughout the turmoil following World War II into the 1970s, the Senegal River	Joshua T. Newton	2007
58	The basin countries expected to see a decrease in the rural-urban drift once irrigation was more feasible, but this has not happened.	The Senegal River, the second-largest river in Western Africa, originates in the Fouta Djallon Mountains of Guinea where its three main tributaries, the Bafing, Bakoye, and Faleme contribute 80% of the river’s flow. After originating in Guinea, the Senegal River then travels 1,800 km crossing Mali, Mauritania and Senegal on its way to the Atlantic Ocean. Following the independence of the basin countries, tension remained in the region due to the instability of the political powers and the influence of neo-colonial states such as the United States and the Soviet Union. Throughout the turmoil following World War II into the 1970s, the Senegal River	Joshua T. Newton	2007
59	They would continue to promote irrigated agriculture without jeopardizing other uses of the water such as flood-recessional farming while at the same time promoting an artificial yearly flood.	The Senegal River, the second-largest river in Western Africa, originates in the Fouta Djallon Mountains of Guinea where its three main tributaries, the Bafing, Bakoye, and Faleme contribute 80% of the river’s flow. After originating in Guinea, the Senegal River then travels 1,800 km crossing Mali, Mauritania and Senegal on its way to the Atlantic Ocean. Following the independence of the basin countries, tension remained in the region due to the instability of the political powers and the influence of neo-colonial states such as the United States and the Soviet Union. Throughout the turmoil following World War II into the 1970s, the Senegal River	Joshua T. Newton	2007
60	Sixty-two percent of rural households do nothing to ensure their water is safe to drink and only 31 percent of people wash their hands after defecation.	None		2016
61	Nineteen percent of Senegalese children under 5 (CU5) are stunted, a measurement of chronic undernutrition.1 Only 38 percent of infants are exclusively breastfed for 6 months and, in rural areas, a mere 7 percent of children 6-23 months receive a minimum acceptable diet.2 Women are often unable to access needed health information and services and, as a result, their health practices are often poor, which can contribute to undernutrition.	None		2016
62	Sixty-two percent of rural households do nothing to ensure their water is safe to drink and only 31 percent of people wash their hands after defecation.3 These poor practices can lead to high prevalence of gastrointestinal illnesses that contribute to undernutrition and stunting.	None		2016
63	A key development during this period was the privatization of the formally state-run groundnut company, Societe Nationale de Commercialisation des Oleagineux du Senegal, which was intended to stop the company's mounting losses (Oya 2006; Sene 2005).	None		2022
64	Remittances are believed to represent about 12% of the gross domestic product (World Bank 2008; Banque Centrale des Etats de l'Afrique de l'Ouest 2008).	What drives Senegalese migration to Europe? The role of economic restructuring, labor demand, and the multiplier effect of networks	Pau Baizán, Amparo González-Ferrer	2016
65	Young people are favored for migration for several reasons.	What drives Senegalese migration to Europe? The role of economic restructuring, labor demand, and the multiplier effect of networks	Pau Baizán, Amparo González-Ferrer	2016
66	Although Southern European labor markets offer a wealth of 'femalespecific' (often informal) jobs in the secondary labor market in agriculture, domestic service, dependent care, and other services, Senegalese women seldom take these opportunities, even when they already reside in Europe (Castagnone 2013).	What drives Senegalese migration to Europe? The role of economic restructuring, labor demand, and the multiplier effect of networks	Pau Baizán, Amparo González-Ferrer	2016
67	Migration propensities are expected to differ by occupational status, since employment can fund migration but also entails different opportunity costs.	What drives Senegalese migration to Europe? The role of economic restructuring, labor demand, and the multiplier effect of networks	Pau Baizán, Amparo González-Ferrer	2016
68	Employers also favor this type of recruitment because it helps solve information asymmetry problems (Munshi 2003; Granovetter 2005).	What drives Senegalese migration to Europe? The role of economic restructuring, labor demand, and the multiplier effect of networks	Pau Baizán, Amparo González-Ferrer	2016
69	The major exception to the expected pattern of migration by job status is agricultural workers, who have more than triple the odds of migration of skilled manual workers for labor migration (and 5.5 times the odds in the case of non-labor migration).	What drives Senegalese migration to Europe? The role of economic restructuring, labor demand, and the multiplier effect of networks	Pau Baizán, Amparo González-Ferrer	2016
70	"Food Consumption Score below 28 is considered ""poor""."	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
71	Accordingly, perception of poverty is higher among female-headed households.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
72	With a combined population of over two million people--representing 14.3%4 of the Senegalese population--and a vast rural population that practices agriculture, the regions of Tambacounda, Kolda, and Kaffrine are among the country's most vulnerable regions to climate shocks.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
73	For example, in Tambacounda, 76.3% of the population lives in rural areas and 70.9% of households practice subsistence agriculture as their main economic activity.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
74	In 2014, R4 Senegal expanded its operations to eight new communes in Tambacounda region and to six communes in Kolda region, reaching a total of 15 communes (including Koussanar), covering approximately 6,000 households, and offering weather-index insurance in five clusters of villages.7 In 2015, R4 expanded to Kaffrine region, bringing the total number of farmers covered through the program to approximately 12,000, of which over 3,620 received insurance coverage.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
75	Stocks collected by the members are supposed to be sold to villagers at 'moderate' prices during the lean season and the money generated used to buy new stocks at harvest.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
76	As shown in Figure 13, a higher percentage of program participants indicated that they cultivated okra, sorrel, eggplant, tomato, chili, cabbage, onion, lettuce, cucumber, and carrot.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
77	Participant households sold a higher proportion of their seasonal production of carrot, eggplant, cucumber, cabbage, and okra, while non-participants sold a higher proportion of their production of tomato, chili, onion, sorrel, and lettuce.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
78	In Kolda, 4.7% of participant households and 10.4% of non-participant households identify themselves as very poor compared to others in their community.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
79	In Tambacounda, 4.4% of participant households and 16.1% of non-participant households identify themselves as very poor compared to others.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
80	In Koussanar, 12.1% of participant households and 15.1% of non-participant households identify themselves as very poor compared to others within their community.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
81	Participant households' greater increases in crop production and improved food security situation, as measured by FCS and CSI, are likely to have contributed a better perception of household poverty among participants compared to non-participants.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
82	Two women in the village of Kalibirom in Koussanar hold packaged couscous made from rice and maize that they produced with credit support from R4.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
83	In Kolda, 30.8% of households indicated that they were exposed to climate shocks, compared to 38.5% in Koussanar and 43% in Tambacounda.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
84	On the other hand, among nonparticipants, the portion of those who perceived others as trustworthy decreased by eight percentage points with a corresponding increase in perceptions of untrustworthiness.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
85	Whereas in Kolda and Tambacounda the majority of participants cultivated rice in community fields that were shared among program participants, most FFA participants in Koussanar received support to cultivate rice on their own farms, thereby reducing opportunities for community bonding through joint participation in the development of lands.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
86	Accordingly, perception of poverty is higher among femaleheaded households.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
87	Male-headed households saw greater increases in production for four of the six main crops produced--rice, maize, groundnut, and millet--while households headed by women recorded greater increases in production of beans and sorghum (insights from locals suggest that production of these two crops has historically been dominated by women).	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
88	Among households headed by women, 13.3% identify themselves as being very poor relative to others within their community compared to 8% among households headed by men.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
89	A community-level focus on resilience is expected to result in local participation, ownership, and flexibility in building resilience.24 R4 supports this goal through undertaking joint community work to build assets, creating savings groups, and forming economic interest groups to undertake income-generating activities in groups.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
90	For female-headed households, in addition to helping women to cultivate vegetables and supporting lowlands rice production, the program can consider working with local institutions toward removing barriers that women face in agriculture production, such as limited access to land and agriculture inputs.	IMPACT EVALUATION OF THE R4 RURAL RESILIENCE INITIATIVE IN SENEGAL		2016
91	Total at national level 2,500,000 Most lowland farmers and pastoralists usually experience annual food shortages or lean periods just before the rainy season.	Emergency appeal Senegal: Food insecurity		2012
92	The fragile food security situation of these populations and this year's drought is likely to aggravate the poor nutritional status that characterizes most lowland farmers and pastoralists in the affected areas.	Emergency appeal Senegal: Food insecurity		2012
93	It is anticipated that food insecurity will intensify as the next rainy season approaches.	Emergency appeal Senegal: Food insecurity		2012
94	To compound the situation, communities have a shortage of seed stocks due to the previous poor harvest (normally, the community keeps part of the harvest for planting seeds), and consequently, affected farmers do not have the time, energy or resources to plant the next harvest.	Emergency appeal Senegal: Food insecurity		2012
95	In order to continue to bridge the infrastructure gap, the country intends to sustain the progress made through the construction of the DakarAIBD rail service and the Ndayane port, the rehabilitation of the Dakar-Bamako railway, the BRT and the renovation of secondary airports.	AFRICAN DEVELOPMENT BANK GROUP SENEGAL		2021
96	This expected level of production could generate significant government revenue (3.8% of GDP per year) and satisfy local demand.	AFRICAN DEVELOPMENT BANK GROUP SENEGAL		2021
97	Specific Expected Results: It is expected that 3,000 agricultural SMEs owned by young people and women will be created and promoted and that 2 new agricultural processing zones will be operational by 2025.	AFRICAN DEVELOPMENT BANK GROUP SENEGAL		2021
98	Indeed, Senegal is a predominantly Muslim country, but Senegalese observe all Christian holy days as well as Islamic holy dates on the calendar as a demonstration of solidarity, tolerance, and unity.	AFRICAN DEVELOPMENT BANK GROUP SENEGAL		2021
99	Religious leaders, such as marabouts, also play an important role at the social and political level and constitute one of the pillars of this harmony enjoyed by the population while living together.	AFRICAN DEVELOPMENT BANK GROUP SENEGAL		2021
100	In terms of social cohesion, despite the prosecution of some opposition figures, Senegal is known for its freedom of expression and a relatively independent press.	AFRICAN DEVELOPMENT BANK GROUP SENEGAL		2021
101	Oil and gas developments could, with appropriate governance, make a significant contribution to the economy but have been delayed due to Covid-19 and are not expected to contribute to revenue and exports until around 2025.	AFRICAN DEVELOPMENT BANK GROUP SENEGAL		2021
102	Lastly, the public sector is perceived as the sector with the highest number of cases of corruption (93%), with the Police and Gendarmerie (95.9%), Health (29.2%) and Education (26.1%) sub-sectors being the most affected.	AFRICAN DEVELOPMENT BANK GROUP SENEGAL		2021
103	The country is also expected to experience a decline in investment (-3%) as a result of the streamlining of public investment and the fall in foreign direct investment and migrant remittances.	AFRICAN DEVELOPMENT BANK GROUP SENEGAL		2021
104	With the Covid-19 crisis, the public deficit is expected to widen to 6.3% of GDP in 2020, compared with the initial forecast of 3%.	AFRICAN DEVELOPMENT BANK GROUP SENEGAL		2021
105	Potential rice grain yields (limited by solar radiation and temperature only) are on average about 9 t ha-1 in the wet growing season from July to November (Dingkuhn and Sow, 1997) while actual average farmer yields are about 5 t ha-1 (SAED, 1997; SONADER, 1998).	Increase in rice productivity in the Senegal River valley due to improved collective management of irrigation schemes	Jean-Christophe Poussin, Youssouf Diallo, Jean-Claude Legoupil, Abdoulaye Sow, Jean-Christophe POUSSINa, Youssouf DIALLOb, Jean-Claude LEGOUPILc, Abdoulaye SOWd	2022
106	In 1998, 1999 and 2000, farmers used three indica cultivars with slender grain: Sahel 108 (IR13240-108-2-2-3, short duration), Jaya (medium duration) and Sahel 202 (ITA 306, medium duration).	Increase in rice productivity in the Senegal River valley due to improved collective management of irrigation schemes	Jean-Christophe Poussin, Youssouf Diallo, Jean-Claude Legoupil, Abdoulaye Sow, Jean-Christophe POUSSINa, Youssouf DIALLOb, Jean-Claude LEGOUPILc, Abdoulaye SOWd	2022
107	The potential yields of these three cultivars are similar and are on average about 8 to 9 t ha-1 in the wet season (Dingkuhn and Sow, 1997; WARDA, 1999).	Increase in rice productivity in the Senegal River valley due to improved collective management of irrigation schemes	Jean-Christophe Poussin, Youssouf Diallo, Jean-Claude Legoupil, Abdoulaye Sow, Jean-Christophe POUSSINa, Youssouf DIALLOb, Jean-Claude LEGOUPILc, Abdoulaye SOWd	2022
108	After harvest, farmers reimbursed the farmers' organization in rice paddy, which was sold by the farmers' organization to pay back the bank.	Increase in rice productivity in the Senegal River valley due to improved collective management of irrigation schemes	Jean-Christophe Poussin, Youssouf Diallo, Jean-Claude Legoupil, Abdoulaye Sow, Jean-Christophe POUSSINa, Youssouf DIALLOb, Jean-Claude LEGOUPILc, Abdoulaye SOWd	2022
109	Rice paddy is sold to the state, which guarantees a paddy price of between 38 and 45 Uguiya (Mauritanian currency [UM]) per kg (1 UM = 0.0032 Euro as of March 2004), depending on milling recovery (SONADER, 1998).	Increase in rice productivity in the Senegal River valley due to improved collective management of irrigation schemes	Jean-Christophe Poussin, Youssouf Diallo, Jean-Claude Legoupil, Abdoulaye Sow, Jean-Christophe POUSSINa, Youssouf DIALLOb, Jean-Claude LEGOUPILc, Abdoulaye SOWd	2022
110	Farmers often choose their rice cultivar individually (Poussin, 1995) and direct sowing and transplanting can coexist in the same irrigation scheme (Poussin, 1997).	Increase in rice productivity in the Senegal River valley due to improved collective management of irrigation schemes	Jean-Christophe Poussin, Youssouf Diallo, Jean-Claude Legoupil, Abdoulaye Sow, Jean-Christophe POUSSINa, Youssouf DIALLOb, Jean-Claude LEGOUPILc, Abdoulaye SOWd	2022
111	They chose furthermore to grow only one cultivar (Jaya in the 1999WS and Sahel 202 in the 2000WS) and to delay the sowing period to make sure harvest would be after the rainy period.	Increase in rice productivity in the Senegal River valley due to improved collective management of irrigation schemes	Jean-Christophe Poussin, Youssouf Diallo, Jean-Claude Legoupil, Abdoulaye Sow, Jean-Christophe POUSSINa, Youssouf DIALLOb, Jean-Claude LEGOUPILc, Abdoulaye SOWd	2022
112	In the 1998WS, farmers sowed Jaya between 20 June and 1 July (Tab.	Increase in rice productivity in the Senegal River valley due to improved collective management of irrigation schemes	Jean-Christophe Poussin, Youssouf Diallo, Jean-Claude Legoupil, Abdoulaye Sow, Jean-Christophe POUSSINa, Youssouf DIALLOb, Jean-Claude LEGOUPILc, Abdoulaye SOWd	2022
