,stripped,readable,conditions,decisions,processes,proportions,causes,other,all
28,horticulture industry rice industry miller export horticulture,"Tomato industry, rice industry, millers, export horticulture.",0,0,0,0,0,1,1
29,harvest time rice harvest rice correspond seed period horticulture cropping,"But during harvest time for rice, harvest for rice corresponds to seeding period for horticulture croppings.",0,0,1,0,0,0,1
30,farm need labor horticulture may compete farm need harvest labor,"So if those farms need labor for horticulture, they may compete with farms that need harvest labor.",1,0,0,0,0,0,1
31,agribusinesse like horticulture canning industry regular labor,Also agribusinesses like the tomato canning industry have their own regular labor.,0,0,1,0,0,0,1
32,something else horticulture competition right catch,(Something else about horticulture competition right after this but I didn't catch it.),0,0,0,0,0,1,1
33,"cold dry ssf end november december beginning february horticulture 

 rainy season vary mid june sept july mid october depend rain",Cold dry (SSF): End of November   December into beginning of February (horticulture)Rainy season can vary between mid-June - Sept or July through mid-October depending on the rains.,0,0,1,0,0,0,1
34,could see horticulture harvest around january early february would see lot farm horticulture horticulture,We could see horticulture harvests around January and early February (we would see a lot of farms doing onions and tomatoes).,0,0,1,1,0,0,1
35,care miller would come around april would see rice farm commercialization cold dry horticulture crop,"If we just care about millers, etc., we would come around April where we would see rice on the farm and the commercialization of cold dry horticulture crops.",0,0,1,0,0,0,1
36,feb april would see remnant commercialization horticulture horticulture plus growth hot dry rice,"Feb-April we would see the remnants of commercialization of onions and tomatoes, plus the growth of hot dry rice.",0,0,1,0,0,0,1
37,look credit table note horticulture,We're looking at the reimbursement table again (note: for onions!!).,0,0,0,0,0,1,1
38,bulletin say remain credit come credit credit horticulture suppose pay june six month horticulture harvest full credit credit,"The bulletin says the remaining credit comes from credit loaned on onions, which is supposed to be paid by June six months between onion harvest and full credit reimbursement!",0,0,1,1,0,0,1
39,cold season plant horticulture season rice,"Cold season, you plant horticulture, the other season you do rice.",1,0,1,0,0,0,1
40,farmer prefer horticulture cold season time sell start rice rainy season,So some farmers prefer to do horticulture in cold season so there's time to sell and start rice in the rainy season.,0,1,1,0,1,0,1
41,year farmer want grow potato go horticulture,"Now, this year, farmers don't want to grow potatoes; they've gone to onion.",0,1,0,0,0,0,1
42,horticulture commercialization,Horticulture is all for commercialization.,0,0,0,1,0,0,1
43,rice subsistence horticulture market,20 - 30% of rice is for subsistence but horticulture is for market.,0,0,0,1,0,0,1
44,get credit horticulture government priority,You don't get credit for horticulture because it's not a government priority.,0,0,0,0,1,0,1
45,horticulture industry similar system extension bank horticulture tie private sector organization trader credit,"For the tomato industry, there's a similar system with SAED and banks, but onion isn't tied to any private sector organizations (just traders), so there isn't credit.",0,0,0,0,1,0,1
46,cotton peanut rice horticulture crop easy access credit,"Cotton, peanut, rice and tomatoes are the only crops with easy access to credit.",1,0,0,0,0,0,1
47,get credit maybe pay horticulture good option might make money even rice,"If you can't get credit (maybe because you didn't pay), then horticulture is a good option because you might make more money even than rice.",1,1,0,1,0,0,1
48,input expensive horticulture rice payoff high investment,"But inputs are more expensive for horticulture than rice, so the payoff is higher but so is the investment.",0,0,0,1,0,0,1
49,horticulture head start,so I'll do onions because I have a head start.,0,1,1,0,1,0,1
50,divide five department horticulture fishery forestry livestock health animal science social science politic focus macroeconomic policy,"Divided into five departments: Horticulture, fishery, forestry, livestock health and animal science, and social science & politics that focuses on macroeconomics and policy.",0,0,0,0,0,1,1
51,government let farmer know certain fertilizer certain crop dap rice horticulture producer include formula like,"The government lets farmers know that certain fertilizers are for certain crops (e.g. DAP is for rice and horticulture producers, which includes formulas like 9 9 20).",1,0,0,0,0,0,1
52,maybe crop support credit time use fertilizer rice cropping time come horticulture horticulture get fertilizer system,"Maybe for crops that aren't supported by credit, but most of the time they use fertilizer for rice, and when the cropping time comes from tomato and onion, they get fertilizer through the same system.",0,0,0,0,0,1,1
53,change might work within plot create furrow billon protect horticulture horticulture much water,The only change might be to work within the plot to create furrows (billons) to protect onions or tomatoes from too much water.,0,0,0,1,0,0,1
54,farmer plant one season either specialize rice horticulture horticulture,"But some farmers only plant in one season, and they either specialize in rice or in tomatoes or onions.",0,1,0,0,0,0,1
55,season already know crop appropriate rice appropriate horticulture,"For the season we already know what crops are appropriate: Rice is appropriate or not, horticulture too.",0,0,0,0,0,1,1
56,third availability seed horticulture horticulture horticulture seed import,"Third: availability of seeds: For horticulture tomatoes, onions, seeds are imported.",0,0,0,0,0,1,1
57,extend horticulture,Now they extend to tomatoes.,0,0,0,0,0,1,1
58,finally access industrial firm horticulture rice thing contract farmer cooperative processor,"Finally, access to an industrial firm: Tomatoes and rice are the only things that have contracts between farmers and coops or processors.",1,0,0,0,0,0,1
59,rice peanut cotton horticulture facilitate access credit mechanism clear firm facilitate,"only rice, peanuts, cotton, tomatoes facilitate access to credit (the mechanism isn't clear but the firm facilitates).",1,0,0,0,0,0,1
60,saving might go contrarian plant horticulture plant everyone else plant need access credit horticulture price low,"If you have savings, you might go contrarian and plant onions; if you are planting what everyone else plants because they need access to credit (e.g., tomatoes), your prices will be low.",1,1,0,1,1,0,1
61,know happen last season last year everyone plant horticulture price low probably change,"If you know what happened last season: If last year everyone planted onions but prices were low, then they'll probably change.",1,1,0,1,1,0,1
62,farmer imitative go horticulture perhaps someone else go horticulture,Farmers are imitative : If you go for tomatoes then perhaps someone else will go for onions.,1,1,0,0,1,0,1
63,seed operator horticulture horticulture b c seed import seed potato see local industry,"We don't have seed operators for tomatoes, onions, etc b c these seeds are imported; seed potatoes are seeing a local industry",0,0,0,0,1,0,1
64,see farmer horticulture like salad horticulture,He's seen farmers doing horticulture like salad and tomato,0,0,0,0,0,1,1
65,horticulture instead rice horticulture rice two different plot,"but it's not horticulture instead of rice, it's horticulture AND rice on two different plots.",0,0,0,0,0,1,1
66,ancar srv leave rice advise extension handle horticulture srv,"ANCAR is also in the SRV, but it leaves the rice advising to SAED and handles horticulture in the SRV.",0,0,0,0,0,1,1
67,ndiaye horticulture region kaolack,"In Ndiaye the horticulture region, Kaolack, etc.",0,0,0,0,0,1,1
68,horticulture mostly dagana horticulture suppose podor dr fall confirm datum confirm expectation,Tomato is mostly in Dagana and the onions are supposed to be Podor (Dr Fall confirms the data confirm his expectations.),0,0,0,1,0,0,1
69,"value chain 
 horticulture glut",_Value chain__Onion glut,0,0,0,0,0,1,1
70,yes guess constraint cheryl mention real exist horticulture vc,"Yes, he guesses all those constraints Cheryl mentioned are real, they exist in the onion VC.",0,0,0,0,0,1,1
71,lot farmer pick horticulture economically profitable rice,Lots of farmers picked onions because it's more economically profitable than rice.,0,1,0,1,1,0,1
72,government support market regulation stop import horticulture local horticulture sell,There's also government support through market regulation (stopping import of onions until local onions are sold.),0,0,1,0,0,0,1
73,law supply demand determine everyone flood horticulture price drop,"Law of supply and demand determines that if everyone floods onions, the price drops.",1,0,0,1,1,0,1
74,people claim regulation fail people import horticulture case,"People will claim that regulation is failing and people are importing onions, but that's not the case.",0,0,0,0,0,1,1
75,quality high import horticulture still squash little farmer,So the quality is as high as imported onions and they're still squashing the little farmers.,0,0,0,1,0,0,1
76,holiday big demand horticulture thing sheep day,"Holidays have big demand for onion or other things Sheep Day, etc.",0,,0,1,0,0,1
77,podor lead horticulture produce region problem everywhere different scale,Podor is the leading onion producing region but the problem is everywhere at different scales.,0,0,0,1,0,0,1
78,"regardless region produce horticulture cold dry season storage infrastructure quality low require market consumer 

 horticulture glut make life easy horticulture grower","Regardless of region, they're all producing onion in the cold dry season and there's no storage infrastructure and the quality is lower than required at market by consumers Onion glut makes life easier for tomato growers!",0,0,0,1,0,0,1
79,use plot horticulture space horticulture,"If you use your plot for onion, you don't have space for tomatoes.",1,1,0,0,0,0,1
80,international market impact domestic horticulture price,International market impacts domestic onion price.,0,0,0,0,1,0,1
81,senegal get horticulture holland scandinavia france,"Senegal gets onions from Holland, Scandinavia, France",0,0,0,0,0,1,1
82,lot horticulture internationally produce lot locally shield price hike,"If there's not a lot of onion internationally and you're not producing a lot locally, you can't shield yourself from price hikes.",1,0,0,1,0,0,1
83,good local yield horticulture increase world market competition unfair import horticulture high quality unless use local horticulture like,"If you have a good local production of onion and you have an increase in the world market, the competition is unfair because imported onion is higher quality (unless you use the local onion, like, NOW.)",1,0,0,1,0,0,1
84,people know store import horticulture local horticulture,People know they can store imported onions but not local onions.,1,1,0,0,0,0,1
85,dr fall overhear lady complain local horticulture much water,Dr. Fall overheard ladies complaining that local onions have too much water.,0,0,0,1,0,0,1
86,year condition really good horticulture expect market import stop,"But for this year, the conditions were really good for onions and you expect to have a market while imports are stopped.",0,0,0,1,1,0,1
87,people might well cropping horticulture use,Also now people might be better at cropping onion than they used to be.,0,0,0,1,0,0,1
88,horticulture less damage crop even though still weed stuff,"Onions you also have less damage than other crops, even though there's still weeds and stuff.",0,0,0,1,0,0,1
89,last year horticulture price high check hypothetical everyone switch horticulture,"Also, last year's onion price was high (check this, it's a hypothetical), so everyone switches to onion.",0,1,0,1,1,0,1
90,podor soil appropriate horticulture rice,Podor soil is more appropriate for onion than rice.,0,0,0,1,0,0,1
91,guess field see lot opportunity horticulture farmer world market grow horticulture yield dr fall believe coming year difficult produce lot horticulture price low compare farmer think,"You can guess if you're in the field you see a lot of opportunities for onions for farmers, the world market is growing onion production, Dr Fall believes this coming year will be difficult because they're producing a lot of onion and the price will be low compared to what farmers think it is.",0,1,0,1,1,0,1
92,podor horticulture region usually horticulture horticulture think bad year lot people,"E.g. Not only Podor is doing onions but now regions that usually do tomato are also doing onions, so you think it'll be a bad year for a lot of people.",0,0,0,1,1,0,1
93,dagana mostly rice cropping base podor mostly horticulture horticulture,"Dagana is mostly rice cropping based, Podor is mostly onions and tomatoes.",0,0,0,0,0,1,1
94,may crop rice horticulture cold dry mostly orient towards horticulture cold dry,Some may crop rice and then tomatoes in cold dry; some mostly oriented towards onions in the cold dry.,0,1,1,0,0,0,1
95,cold season podor people horticulture,"If you are in a cold season and you are in Podor, most people will do onion.",1,1,0,1,0,0,1
96,horticulture zone,It's the onion zone.,0,0,0,0,0,1,1
97,dagana local horticulture industry people mostly orient towards horticulture,"If you are in Dagana, where you have local tomato industry, people are mostly oriented towards tomatoes.",1,1,0,0,0,0,1
98,term variety horticulture horticulture choose base market demand people go see kind rice people want,"In terms of variety (tomatoes onions), you're choosing based on market demand (people will go to see what kind of rice people want).",0,1,0,0,1,0,1
