,readable,stripped,other,proportions,processes,decisions,conditions,causes,all
56,"60. If you have savings, you might go contrarian and plant onions; if you are planting what everyone else plants because they need access to credit (e.g., tomatoes), your prices will be low.",saving might go contrarian plant onion plant everyone else plant need access credit tomatoe price low,False,True,False,True,True,True,True
57,"61. If you know what happened last season: If last year everyone planted onions but prices were low, then they'll probably change.",know happen last season last year everyone plant onion price low probably change,False,True,False,True,True,True,True
58,62. Farmers are imitative : If you go for tomatoes then perhaps someone else will go for onions.,farmer imitative go tomato perhaps someone else go onion,False,False,False,True,True,True,True
59,"63. We don't have seed operators for tomatoes, onions, etc bc these seeds are imported; seed potatoes are seeing a local industry",seed operator tomato onion b c seed import seed potato see local industry,False,False,False,False,False,True,True
60,64. He's seen farmers doing horticulture like salad and tomato,see farmer horticulture like salad tomato,True,False,False,False,False,False,True
61,"65. but it's not horticulture instead of rice, it's horticulture AND rice on two different plots.",horticulture instead rice horticulture rice two different plot,True,False,False,False,False,False,True
62,"66. ANCAR is also in the SRV, but it leaves the rice advising to SAED and handles horticulture in the SRV.",ancar srv leave rice advise extension handle horticulture srv,True,False,False,False,False,False,True
63,68. Tomato is mostly in Dagana and the onions are supposed to be Podor (Dr Fall confirms the data confirm his expectations.),tomato mostly dagana onion suppose podor dr fall confirm datum confirm expectation,False,True,False,False,False,False,True
64,71. Lots of farmers picked onions because it's more economically profitable than rice.,lot farmer pick onion economically profitable rice,False,True,False,True,False,True,True
65,72. There's also government support through market regulation (stopping import of onions until local onions are sold.),government support market regulation stop import onion local onion sell,False,False,True,False,False,False,True
66,"73. Law of supply and demand determines that if everyone floods onions, the price drops.",law supply demand determine everyone flood onion price drop,False,True,False,False,True,True,True
67,"74. People will claim that regulation is failing and people are importing onions, but that's not the case.",people claim regulation fail people import onion case,True,False,False,False,False,False,True
68,75. So the quality is as high as imported onions and they're still squashing the little farmers.,quality high import onion still squash little farmer,False,True,False,False,False,False,True
69,"76. Holidays have big demand for onion or other things Sheep Day, etc.",holiday big demand onion thing sheep day,False,True,False,False,False,False,True
70,77. Podor is the leading onion producing region but the problem is everywhere at different scales.,podor lead onion produce region problem everywhere different scale,False,True,False,False,False,False,True
71,"78. Regardless of region, they're all producing onion in the colddry season and there's no storage infrastructure and the quality is lower than required at market by consumers Onion glut makes life easier for tomato growers!","regardless region produce onion cold dry season storage infrastructure quality low require market consumer 

 onion glut make life easy tomato grower",False,True,False,False,False,False,True
72,"79. If you use your plot for onion, you don't have space for tomatoes.",use plot onion space tomato,False,False,False,True,True,False,True
73,80. International market impacts domestic onion price.,international market impact domestic onion price,False,False,False,False,False,True,True
74,"81. Senegal gets onions from Holland, Scandinavia, France",senegal get onion holland scandinavia france,True,False,False,False,False,False,True
75,"82. If there's not a lot of onion internationally and you're not producing a lot locally, you can't shield yourself from price hikes.",lot onion internationally produce lot locally shield price hike,False,True,False,False,True,False,True
76,"83. If you have a good local production of onion and you have an increase in the world market, the competition is unfair because imported onion is higher quality (unless you use the local onion, like, NOW.)",good local production onion increase world market competition unfair import onion high quality unless use local onion like,False,True,False,False,True,False,True
77,84. People know they can store imported onions but not local onions.,people know store import onion local onion,False,False,False,True,True,False,True
78,85. Dr. Fall overheard ladies complaining that local onions have too much water.,dr fall overheard lady complain local onion much water,False,True,False,False,False,False,True
79,"86. But for this year, the conditions were really good for onions and you expect to have a market while imports are stopped.",year condition really good onion expect market import stop,False,True,False,False,False,True,True
80,87. Also now people might be better at cropping onion than they used to be.,people might well cropping onion use,False,True,False,False,False,False,True
81,"88. Onions you also have less damage than other crops, even though there's still weeds and stuff.",onion less damage crop even though still weed stuff,False,True,False,False,False,False,True
82,"89. Also, last year's onion price was high (check this, it's a hypothetical), so everyone switches to onion.",last year onion price high check hypothetical everyone switch onion,False,True,False,True,False,True,True
83,90. Podor soil is more appropriate for onion than rice.,podor soil appropriate onion rice,False,True,False,False,False,False,True
84,"91. You can guess if you're in the field you see a lot of opportunities for onions for farmers, the world market is growing onion production, Dr Fall believes this coming year will be difficult because they're producing a lot of onion and the price will be low compared to what farmers think it is.",guess field see lot opportunity onion farmer world market grow onion production dr fall believe coming year difficult produce lot onion price low compare farmer think,False,True,False,True,False,True,True
85,"92. E.g. Not only Podor is doing onions but now regions that usually do tomato are also doing onions, so you think it'll be a bad year for a lot of people.",podor onion region usually tomato onion think bad year lot people,False,True,False,False,False,True,True
86,"93. Dagana is mostly rice cropping based, Podor is mostly onions and tomatoes.",dagana mostly rice cropping base podor mostly onion tomato,True,False,False,False,False,False,True
87,94. Some may crop rice and then tomatoes in colddry; some mostly oriented towards onions in the colddry.,may crop rice tomatoe cold dry mostly orient towards onion cold dry,False,False,True,True,False,False,True
88,"95. If you are in a cold season and you are in Podor, most people will do onion.",cold season podor people onion,False,True,False,True,True,False,True
89,96. It's the onion zone.,onion zone,True,False,False,False,False,False,True
90,"97. If you are in Dagana, where you have local tomato industry, people are mostly oriented towards tomatoes.",dagana local tomato industry people mostly orient towards tomato,False,False,False,True,True,False,True
91,"98. In terms of variety (tomatoesonions), you're choosing based on market demand (people will go to see what kind of rice people want).",term variety tomatoe onion choose base market demand people go see kind rice people want,False,False,False,True,False,True,True
