,stripped,readable
76,law supply demand determine everyone flood onion price drop,"Law of supply and demand determines that if everyone floods onions, the price drops."
77,people claim regulation fail people import onion case,"People will claim that regulation is failing and people are importing onions, but that's not the case."
78,quality high import onion still squash little farmer,So the quality is as high as imported onions and they're still squashing the little farmers.
79,holiday big demand onion thing sheep day,"Holidays have big demand for onion or other things Sheep Day, etc."
80,podor lead onion produce region problem everywhere different scale,Podor is the leading onion producing region but the problem is everywhere at different scales.
81,"regardless region produce onion cold dry season storage infrastructure quality low require market consumer 

 onion glut make life easy tomato grower","Regardless of region, they're all producing onion in the colddry season and there's no storage infrastructure and the quality is lower than required at market by consumers Onion glut makes life easier for tomato growers!"
82,use plot onion space tomato,"If you use your plot for onion, you don't have space for tomatoes."
83,international market impact domestic onion price,International market impacts domestic onion price.
84,senegal get onion holland scandinavia france,"Senegal gets onions from Holland, Scandinavia, France"
85,lot onion internationally produce lot locally shield price hike,"If there's not a lot of onion internationally and you're not producing a lot locally, you can't shield yourself from price hikes."
86,good local production onion increase world market competition unfair import onion high quality unless use local onion like,"If you have a good local production of onion and you have an increase in the world market, the competition is unfair because imported onion is higher quality (unless you use the local onion, like, NOW.)"
87,people know store import onion local onion,People know they can store imported onions but not local onions.
88,dr fall overheard lady complain local onion much water,Dr. Fall overheard ladies complaining that local onions have too much water.
89,year condition really good onion expect market import stop,"But for this year, the conditions were really good for onions and you expect to have a market while imports are stopped."
90,people might well cropping onion use,Also now people might be better at cropping onion than they used to be.
91,onion less damage crop even though still weed stuff,"Onions you also have less damage than other crops, even though there's still weeds and stuff."
92,last year onion price high check hypothetical everyone switch onion,"Also, last year's onion price was high (check this, it's a hypothetical), so everyone switches to onion."
93,podor soil appropriate onion rice,Podor soil is more appropriate for onion than rice.
94,guess field see lot opportunity onion farmer world market grow onion production dr fall believe coming year difficult produce lot onion price low compare farmer think,"You can guess if you're in the field you see a lot of opportunities for onions for farmers, the world market is growing onion production, Dr Fall believes this coming year will be difficult because they're producing a lot of onion and the price will be low compared to what farmers think it is."
95,podor onion region usually tomato onion think bad year lot people,"E.g. Not only Podor is doing onions but now regions that usually do tomato are also doing onions, so you think it'll be a bad year for a lot of people."
96,dagana mostly rice cropping base podor mostly onion tomato,"Dagana is mostly rice cropping based, Podor is mostly onions and tomatoes."
97,may crop rice tomatoe cold dry mostly orient towards onion cold dry,Some may crop rice and then tomatoes in colddry; some mostly oriented towards onions in the colddry.
98,cold season podor people onion,"If you are in a cold season and you are in Podor, most people will do onion."
99,onion zone,It's the onion zone.
100,dagana local tomato industry people mostly orient towards tomato,"If you are in Dagana, where you have local tomato industry, people are mostly oriented towards tomatoes."
101,term variety tomatoe onion choose base market demand people go see kind rice people want,"In terms of variety (tomatoesonions), you're choosing based on market demand (people will go to see what kind of rice people want)."
